;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;7.0;183.4286;417.0;1.7143;2.628;0.3846;940.6;2919.0;13.1;0.5714;0.2857;0.4286;0.4286;0.5714;0.2857;sebastian;1;
1;98.0;77.0306;89.6224;0.4898;2.5561;0.7347;238.1951;8783.0;13.2;0.3265;0.6633;0.2959;0.6939;0.2551;0.7347;sebastian;1;
2;53.0;79.2453;118.717;0.6981;2.6135;0.7368;540.7692;6292.0;30.1;0.3396;0.6415;0.3774;0.6038;0.3396;0.6415;sebastian;1;
3;41.0;91.0732;109.3415;0.5366;2.5172;0.7826;294.3889;4483.0;30.2;0.2683;0.7073;0.2683;0.7073;0.1463;0.8293;sebastian;1;
4;2.0;375.0;466.5;1.5;2.66;0.25;683.0;933.0;7.1;0.5;0.0;0.0;0.5;0.5;0.0;sebastian;1;
5;47.0;90.5957;108.1489;0.5745;2.5596;0.75;243.5217;5083.0;7.2;0.3404;0.6383;0.3191;0.6596;0.2979;0.6809;sebastian;1;
6;8.0;60.375;218.625;1.0;2.57;0.3333;583.0;1749.0;18.1;0.375;0.5;0.375;0.5;0.25;0.625;sebastian;1;
7;7.0;57.1429;86.8571;0.5714;2.69;0.2;286.0;608.0;18.2;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;sebastian;1;
8;3.0;172.0;172.0;0.3333;2.61;0.0;516.0;516.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;sebastian;1;
9;14.0;134.5714;242.9286;1.2143;2.46;0.6667;377.8889;3401.0;29.2;0.3571;0.5714;0.3571;0.5714;0.2857;0.6429;sebastian;1;
10;41.0;91.4634;102.0488;0.5366;2.4737;0.7826;225.4737;4184.0;2.1;0.4146;0.561;0.3902;0.5854;0.3415;0.6341;sebastian;1;
11;30.0;66.7;66.7;0.3333;2.348;0.8182;200.1;2001.0;2.2;0.3333;0.6333;0.3333;0.6333;0.3;0.6667;sebastian;1;
12;58.0;58.931;62.9483;0.3448;2.4232;0.7619;203.5789;3651.0;6.1;0.2759;0.7069;0.2759;0.7069;0.2414;0.7414;sebastian;1;
13;57.0;82.4386;88.2807;0.4737;2.3676;0.75;215.36;5032.0;6.2;0.4035;0.5789;0.4035;0.5789;0.3509;0.6316;sebastian;1;
14;48.0;86.4792;91.3542;0.4583;2.478;0.8261;232.6;4385.0;22.1;0.3542;0.625;0.3542;0.625;0.3333;0.6458;sebastian;1;
15;8.0;66.625;145.75;0.75;2.4233;0.2857;388.6667;1166.0;22.2;0.375;0.5;0.375;0.5;0.375;0.5;sebastian;1;
16;15.0;46.6667;64.4;0.4;2.815;0.2857;299.75;966.0;15.1;0.2667;0.6667;0.2667;0.6667;0.2;0.7333;sebastian;1;
17;66.0;76.8636;131.197;0.697;2.5232;0.617;537.92;8659.0;15.2;0.303;0.6818;0.303;0.6818;0.2576;0.7273;sebastian;1;
18;16.0;106.3125;133.375;0.625;2.4989;0.7273;237.1111;2134.0;8.2;0.375;0.5625;0.375;0.5625;0.375;0.5625;sebastian;1;
19;30.0;115.4333;159.9333;0.9333;2.486;0.6207;282.35;4798.0;8.1;0.4333;0.5333;0.3667;0.6;0.3667;0.6;sebastian;1;
20;115.0;83.4261;94.9478;0.513;2.3788;0.8;228.36;10919.0;19.1;0.3739;0.6174;0.3739;0.6174;0.3304;0.6609;sebastian;1;
21;19.0;114.5789;142.6316;0.6842;2.375;0.6429;282.7;2710.0;19.2;0.3684;0.5789;0.3684;0.5789;0.3684;0.5789;sebastian;1;
22;16.0;132.5625;191.5;1.0;2.4642;0.5294;288.5;3064.0;12.1;0.4375;0.5;0.4375;0.5;0.3125;0.625;sebastian;1;
23;76.0;31.1447;35.7368;0.1974;2.3162;0.6875;220.4615;2716.0;12.2;0.1579;0.8289;0.1579;0.8289;0.1447;0.8421;sebastian;1;
24;7.0;208.2857;426.0;1.5714;2.59;0.3333;724.8;2982.0;11.1;0.5714;0.2857;0.5714;0.2857;0.4286;0.4286;sebastian;1;
25;15.0;71.2;71.2;0.3333;2.57;0.5;247.0;1068.0;11.2;0.3333;0.6;0.3333;0.6;0.2;0.7333;sebastian;1;
26;90.0;81.4556;89.6111;0.4667;2.4562;0.814;227.8919;8065.0;27.2;0.3556;0.6333;0.3333;0.6556;0.3222;0.6667;sebastian;1;
