;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;5.1;False;True;4.35;4.19;;;;0
1;5.2;False;True;3.54;1.75;;;;0
2;25.2;False;False;7.31;35.52;;;;0
3;25.1;False;False;5.59;26.32;;;;0
4;22.2;False;False;4.49;118.98;;;;0
5;22.1;False;False;4.59;13.94;;;;0
6;3.1;False;False;2.03;28.22;;;;0
7;3.2;False;True;9.42;7.52;;;;0
8;1.1;False;False;3.47;71.3;;;;0
9;1.2;False;False;7.79;35.95;;;;0
10;19.1;False;False;14.12;27.06;;;7.87;1
11;19.2;False;False;4.67;147.34;;;;0
12;9.1;False;False;4.78;43.54;;;;0
13;9.2;False;False;4.23;21.26;;;;0
14;30.1;False;False;5.45;71.15;;;;0
15;30.2;False;False;4.01;27.31;;;;0
16;15.1;False;False;1.52;21.05;;;;0
17;15.2;False;False;10.84;23.61;;;;0
18;23.1;False;False;6.43;54.68;;;;0
19;23.2;False;False;1.37;4.59;;;;0
20;17.2;False;False;4.5;10.41;;;;0
21;17.1;False;False;6.49;14.06;;;;0
22;13.1;False;False;3.48;107.96;;;;0
23;13.2;False;False;4.71;27.64;;;;0
24;18.1;False;False;0.43;29.22;;;;0
25;18.2;False;False;2.72;30.44;;;;0
26;2.2;False;False;1.37;5.34;;;;0
27;2.1;False;False;5.37;38.05;;;3.33;1
28;29.1;False;False;3.15;45.65;;;;0
29;29.2;False;False;3.28;18.1;;;;0
30;12.2;False;False;5.82;25.91;;;;0
31;12.1;False;False;12.1;92.14;;;4.36;1
32;4.1;False;False;6.45;30.56;;;;0
33;4.2;False;False;13.29;25.46;;;;0
34;16.1;False;False;3.25;78.66;;;;0
35;16.2;False;False;13.25;79.36;;;;0
36;20.1;False;False;7.4;30.75;;;;0
37;20.2;False;False;3.88;94.87;;;;0
38;27.2;False;False;6.56;19.65;;;;0
39;27.1;False;False;3.91;48.74;;;;0
40;28.1;False;False;7.69;38.17;;;;0
41;28.2;False;False;2.18;120.06;;;;0
42;10.2;False;True;8.52;3.89;;;;0
43;10.1;False;False;8.8;35.29;;;;0
44;6.2;False;False;3.7;111.67;;;;0
45;6.1;False;False;4.69;46.16;;;;0
46;11.2;False;False;3.56;68.78;;;;0
47;11.1;False;False;8.39;29.05;;;;0
48;21.1;False;False;9.31;73.55;;;;0
49;21.2;False;False;12.35;31.53;;;;0
50;26.2;False;False;8.13;44.84;;;;0
51;26.1;False;False;3.75;106.09;;;;0
52;14.1;False;False;13.17;17.2;;;;0
53;14.2;False;False;12.06;54.45;;;;0
54;7.2;False;False;14.29;66.86;;;;0
55;7.1;False;False;1.5;116.49;;;;0
56;24.1;False;True;13.89;13.6;;;;0
57;24.2;False;False;13.6;70.77;;;12.56;1
58;8.2;False;False;13.5;47.86;;;;0
59;8.1;False;False;15.14;53.66;;;;0
60;5.0;False;False;10.12;;;;;0
61;25.0;False;True;8.38;1.82;;;;0
62;22.0;False;False;0.9;160.48;;;;0
63;3.0;False;True;9.42;5.36;;;;0
64;1.0;False;False;3.36;4.19;;;;0
65;19.0;False;False;4.14;76.75;;;;0
66;9.0;False;False;3.52;139.28;;;;0
67;30.0;False;False;1.89;15.92;;;;0
68;15.0;False;False;8.77;17.92;;;;0
69;23.0;False;True;12.66;2.93;;;;0
70;17.0;False;True;12.08;2.87;;;;0
71;13.0;False;True;14.22;2.11;;;;0
72;18.0;False;False;5.82;72.59;;;;0
73;2.0;False;False;11.6;40.6;;;;0
74;29.0;False;False;11.9;62.18;;;6.77;1
75;12.0;False;True;16.81;0.0;;;;0
76;4.0;False;False;9.29;79.15;;;;0
77;16.0;False;False;11.07;102.66;;;;0
78;20.0;False;False;19.16;95.07;;;;0
79;27.0;False;False;11.45;158.33;;;;0
80;28.0;False;False;1.75;112.37;;;;0
81;10.0;False;False;6.46;124.23;;;;0
82;6.0;False;False;4.92;76.41;;;;0
83;11.0;False;False;14.66;90.77;;;;0
84;21.0;False;True;11.27;5.22;;;;0
85;26.0;False;False;10.99;74.09;;;;0
86;14.0;False;False;5.21;111.92;;;;0
87;7.0;False;False;15.8;153.81;;;;0
88;24.0;False;False;7.3;81.12;;;;0
89;8.0;False;False;8.16;168.87;;;;0
