;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Describe;391;770;472;786;778.0;;1;[np.float64(2151.0), np.float64(2192.0)];[np.float64(2.9879112243652344), np.float64(0.0)];333.0;150.0;2;2.3526;2.4906;381.65116955931757;2.42;166.5;150.0
1;1;the;480;770;509;786;778.0;0.0;1;[];[];0.0;0.0;0;;;344.6525902829563;;;
2;2;overall;518;770;579;786;778.0;0.0;1;[np.float64(2152.0), np.float64(2193.0)];[np.float64(5.979332447052002), np.float64(0.0)];400.0;200.0;2;2.3637;2.4721;274.6563252491584;2.42;200.0;200.0
3;3;appearance;587;774;699;790;782.0;4.0;1;[np.float64(2153.0), np.float64(2194.0)];[np.float64(13.632404565811157), np.float64(8.711071218763095)];441.0;208.0;2;2.3382;2.4471;154.80445242194827;2.39;220.5;208.0
4;4;and;707;770;741;786;778.0;4.0;1;[np.float64(2155.0)];[np.float64(0.0)];150.0;150.0;1;2.3157;2.4;112.682766439775;2.36;150.0;150.0
5;5;atmosphere;750;770;861;790;780.0;2.0;1;[np.float64(2154.0), np.float64(2195.0), np.float64(2196.0)];[np.float64(0.0), np.float64(4.522942430832813), np.float64(3.1782554388046265)];749.0;333.0;3;2.366;2.4626;3.1782554388046265;2.41;249.6667;483.0
6;6;of;870;770;887;786;778.0;2.0;1;[];[];0.0;0.0;0;;;16.66788702285099;;;
7;7;the;894;770;923;786;778.0;0.0;1;[np.float64(2158.0)];[np.float64(5.635818290710404)];167.0;167.0;1;2.2998;2.3795;40.487004670165376;2.34;167.0;167.0
8;8;bedroom;932;770;1014;786;778.0;0.0;1;[np.float64(2156.0), np.float64(2157.0)];[np.float64(0.0), np.float64(1.1104800150944811)];434.0;217.0;2;2.3114;2.3717;78.42649066891548;2.34;217.0;601.0
9;9;in;1023;770;1037;786;778.0;0.0;1;[];[];0.0;0.0;0;;;169.39188337239668;;;
10;10;the;1045;770;1074;786;778.0;0.0;1;[np.float64(2160.0)];[np.float64(4.184728622436523)];108.0;108.0;1;2.3336;2.4179;191.38845572384145;2.38;108.0;1140.0
11;11;image.;1083;770;1144;790;780.0;2.0;1;[np.float64(2159.0)];[np.float64(2.782681139455127)];217.0;217.0;1;2.3324;2.4029;229.38408374566077;2.37;217.0;1357.0
