;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;41;179.6341;664.6341;2.7317;2.7097;0.708;1262.6176;27250.0;30.2;0.4634;0.5122;0.4634;0.5122;0.3902;0.5854;tomas;1
1;53;105.9623;140.2264;0.6604;2.7452;0.75;291.9259;7432.0;30.1;0.4151;0.566;0.3962;0.5849;0.3585;0.6226;tomas;1
2;48;145.7917;209.875;0.9792;2.7452;0.75;395.1818;10074.0;22.1;0.4792;0.5;0.5;0.4792;0.3958;0.5833;tomas;1
3;8;110.5;185.5;1.125;2.81;0.4;296.8;1484.0;22.2;0.5;0.375;0.625;0.25;0.5;0.375;tomas;1
4;110;125.8273;167.7727;0.8;2.6745;0.764;305.2969;18455.0;24.2;0.4455;0.5455;0.4273;0.5636;0.3818;0.6091;tomas;1
5;106;140.9623;229.1038;1.0943;2.678;0.7094;410.125;24285.0;24.1;0.4057;0.5849;0.3868;0.6038;0.3396;0.6509;tomas;1
6;2;179.5;333.5;1.5;2.91;0.0;558.5;667.0;7.1;0.0;0.5;0.5;0.0;0.0;0.5;tomas;1
7;47;119.1277;143.5745;0.766;2.7423;0.7027;265.5161;6748.0;7.2;0.4043;0.5745;0.4255;0.5532;0.2766;0.7021;tomas;1
8;89;104.0787;117.4607;0.5618;2.6718;0.8235;244.7955;10454.0;5.1;0.382;0.6067;0.382;0.6067;0.3258;0.6629;tomas;1
9;55;161.6364;298.9818;1.4182;2.7067;0.7848;492.1667;16444.0;5.2;0.4909;0.4909;0.5091;0.4727;0.3091;0.6727;tomas;1
10;55;137.7818;189.9455;0.9091;2.6914;0.8431;308.25;10447.0;21.1;0.4182;0.5636;0.4;0.5818;0.2909;0.6909;tomas;1
11;136;134.3971;210.0368;0.9706;2.6955;0.812;441.6548;28565.0;21.2;0.4044;0.5882;0.4265;0.5662;0.3309;0.6618;tomas;1
12;38;135.9211;267.1053;1.1579;2.8342;0.5556;500.7308;10150.0;16.2;0.5263;0.4474;0.5526;0.4211;0.4211;0.5526;tomas;1
13;21;158.381;468.0476;2.0952;2.8353;0.6444;816.4;9829.0;16.1;0.4762;0.4762;0.4286;0.5238;0.4286;0.5238;tomas;1
14;8;97.875;169.875;1.0;2.898;0.4444;375.2;1359.0;18.1;0.5;0.375;0.375;0.5;0.5;0.375;tomas;1
15;7;113.1429;204.8571;0.7143;2.9825;0.5;494.0;1434.0;18.2;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;tomas;1
16;72;119.4306;129.1528;0.6389;2.6707;0.8298;232.5238;9299.0;10.2;0.4583;0.5278;0.4444;0.5417;0.3611;0.625;tomas;1
17;93;130.6559;214.6129;1.0538;2.6483;0.7677;364.5714;19959.0;10.1;0.4624;0.5269;0.4839;0.5054;0.3333;0.6559;tomas;1
18;59;151.661;321.8644;1.3051;2.7155;0.7564;501.7045;18990.0;9.2;0.4407;0.5424;0.4407;0.5424;0.322;0.661;tomas;1
