Unnamed: 0,trial,discarted,calibrate,mean_distance,mean_distance_cal,mean_distance_10,mean_distance_cal_10,mean_distance_nr,fix_removed,best
0,4.1,False,True,10.83,7.04,,,6.38,1,False
1,4.2,False,True,12.57,6.9,,,,0,True
2,10.2,False,True,10.98,3.68,,,,0,False
3,10.1,False,True,14.86,10.21,,,7.16,1,True
4,1.2,False,False,11.09,40.89,,,,0,False
5,1.1,False,False,4.11,76.91,,,,0,True
6,17.2,False,False,8.63,9.29,,,,0,False
7,17.1,False,False,2.86,40.58,,,,0,True
8,13.1,False,False,7.2,37.91,,,,0,False
9,13.2,False,True,13.01,4.01,,,,0,True
10,28.2,False,False,12.2,13.81,,,,0,True
11,28.1,False,False,9.52,27.36,,,,0,False
12,5.1,False,False,12.31,20.08,,,,0,False
13,5.2,False,False,13.89,50.57,,,,0,True
14,30.1,False,False,12.0,29.0,,,,0,True
15,30.2,False,False,7.99,39.46,,,,0,False
16,27.2,False,False,12.68,51.4,,,,0,False
17,27.1,False,False,12.55,56.73,,,10.04,1,True
18,20.1,False,False,22.0,35.18,,,14.85,5,False
19,20.2,False,False,7.62,48.22,,,,0,True
20,26.1,False,False,5.29,23.35,,,,0,True
21,26.2,False,False,9.05,41.86,,,,0,False
22,2.1,False,False,5.93,24.82,,,,0,True
23,2.2,False,False,7.03,51.26,,,,0,False
24,23.1,False,True,8.72,4.3,,,,0,False
25,23.2,False,False,4.13,104.18,,,,0,True
26,11.2,False,False,4.68,106.88,,,,0,False
27,11.1,False,False,4.25,35.73,,,,0,True
28,3.1,False,False,12.63,61.95,,,,0,False
29,3.2,False,False,7.39,58.28,,,,0,True
30,16.1,False,False,5.96,15.87,,,,0,False
31,16.2,False,False,4.45,74.84,,,,0,True
32,9.1,False,False,11.59,32.99,,,,0,False
33,9.2,False,False,8.83,119.41,,,,0,True
34,21.2,False,True,16.25,16.08,,,,0,True
35,21.1,False,False,8.03,67.42,,,,0,False
36,18.2,False,False,8.6,83.25,,,,0,False
37,18.1,False,False,5.82,30.59,,,,0,True
38,25.2,False,False,13.97,22.65,,,,0,False
39,25.1,False,False,10.99,64.42,,,,0,True
40,15.1,False,False,1.78,81.28,,,,0,True
41,15.2,False,False,4.54,25.35,,,,0,False
42,7.2,False,False,8.96,35.89,,,,0,False
43,7.1,False,False,3.28,118.06,,,,0,True
44,8.2,False,False,4.39,37.38,,,,0,False
45,8.1,False,False,5.21,53.31,,,,0,True
46,12.1,False,False,4.58,43.66,,,,0,False
47,12.2,False,False,6.73,15.77,,,,0,True
48,24.1,False,False,14.27,77.43,,,,0,False
49,24.2,False,False,11.51,91.84,,,,0,True
50,6.1,False,False,7.07,32.29,,,,0,False
51,6.2,False,False,10.25,35.19,,,,0,True
52,14.2,False,False,12.88,80.5,,,,0,True
53,14.1,False,False,16.03,61.95,,,,0,False
54,29.2,False,False,2.61,104.18,,,,0,True
55,29.1,False,False,2.19,63.12,,,,0,False
56,19.1,False,False,9.35,77.89,,,,0,True
57,19.2,False,False,1.72,164.92,,,,0,False
58,22.2,False,False,0.81,51.58,,,,0,True
59,22.1,False,False,4.8,5.48,,,,0,False
60,4.0,False,False,28.94,,,,13.71,2,False
61,10.0,False,True,12.71,1.11,,,,0,False
62,1.0,False,True,11.04,1.23,,,,0,False
63,17.0,False,False,16.55,68.2,,,,0,False
64,13.0,False,False,19.2,26.5,,,,0,False
65,28.0,False,True,17.56,5.11,,,,0,False
66,5.0,False,False,21.27,25.95,,,14.63,1,False
67,30.0,False,False,14.5,96.02,,,,0,False
68,27.0,False,False,10.68,57.95,,,,0,False
69,20.0,False,False,16.87,139.24,,,,0,False
70,26.0,False,False,15.85,66.46,,,,0,False
71,2.0,False,False,13.22,51.55,,,,0,False
72,23.0,False,False,13.18,51.69,,,,0,False
73,11.0,False,False,18.95,183.55,,,,0,False
74,3.0,False,False,12.85,14.98,,,,0,False
75,16.0,False,False,19.08,78.61,,,,0,False
76,9.0,False,False,15.24,101.65,,,,0,False
77,21.0,False,False,24.18,202.11,,,,0,False
78,18.0,False,False,12.6,133.54,,,,0,False
79,25.0,False,True,21.8,6.21,,,,0,False
80,15.0,False,False,13.78,114.56,,,,0,False
81,7.0,False,False,11.28,25.88,,,,0,False
82,8.0,False,False,17.41,41.64,,,,0,False
83,12.0,False,False,18.07,49.91,,,,0,False
84,24.0,False,False,34.7,47.3,,,,0,False
85,6.0,False,False,14.19,197.46,,,,0,False
86,14.0,False,False,21.41,48.62,,,,0,False
87,29.0,False,False,23.76,143.77,,,,0,False
88,19.0,False,False,18.2,18.4,,,,0,False
89,22.0,False,False,6.78,157.59,,,,0,False
