;ID;x;y;duration;pupil_r;pupil_l;word;word_number;distance
3117;3118;635.6205625534056;775.0627555847168;134.0;2.512554168701172;2.2917442321777344;;;
3118;3119;598.8351802825928;768.3278381824493;66.0;2.409332275390625;2.379291534423828;What;0.0;1.8691311480220079
3119;3120;561.3766479492186;762.5377375862815;183.0;2.335253628817472;2.380796952681108;What;0.0;7.462262413718463
3120;3121;692.7417395455495;774.1359680720738;117.0;2.5502537318638394;2.394962855747768;prominent;3.0;0.0
3121;3122;840.4368031819662;764.2883434295654;150.0;2.2666202121310763;2.403944227430556;objects;4.0;5.71165657043457
3122;3123;926.9872207641602;745.2041344642639;100.0;2.336194356282552;2.256329345703125;image?;7.0;24.795865535736084
3123;3124;926.4989166259766;758.1342573165894;100.0;2.383488972981771;2.3958282470703125;image?;7.0;11.865742683410645
3128;3129;828.4853302001952;752.9037094116211;83.0;2.4190635681152344;2.5481170654296874;objects;4.0;17.096290588378906
3129;3130;940.3984069824219;767.8628075122833;200.0;2.3261324564615884;2.607339223225912;image?;7.0;2.137192487716675
3130;3131;875.9601135253906;768.9621720314026;100.0;2.3663787841796875;2.53087158203125;in;5.0;4.093847337943221
3131;3132;803.1299416678294;768.5270919799805;117.0;2.516699654715402;2.444706508091518;objects;4.0;1.4729080200195312
3132;3133;703.9353292128619;774.8131306592155;284.0;2.587595322552849;2.574779734892004;prominent;3.0;0.0
3133;3134;841.5029010772705;778.6282675266265;133.0;2.4951210021972656;2.5118236541748047;objects;4.0;0.0
3160;3161;828.4410781860352;769.771023273468;100.0;2.5018386840820312;2.480603535970052;objects;4.0;0.22897672653198242
