;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;457;425;493;440;432.5;;1;[];[];0.0;0.0;0;;;545.3780110677083;;;
1;1;name;502;429;553;440;434.5;2.0;1;[];[];0.0;0.0;0;;;485.3830464574685;;;
2;2;of;561;425;579;440;432.5;2.0;1;[];[];0.0;0.0;0;;;459.37801106770826;;;
3;3;the;586;425;615;440;432.5;0.0;1;[];[];0.0;0.0;0;;;423.37801106770826;;;
4;4;school;623;425;684;440;432.5;0.0;1;[np.float64(5265.0)];[np.float64(0.7592813491821175)];83.0;83.0;1;2.6402;2.7259;354.37801106770826;2.68;83.0;83.0
5;5;mentioned;693;425;791;440;432.5;0.0;1;[np.float64(5271.0), np.float64(5272.0)];[np.float64(0.0), np.float64(0.0)];350.0;200.0;2;2.7303;2.7662;247.37801106770826;2.75;175.0;350.0
6;6;in;800;425;814;440;432.5;0.0;1;[];[];0.0;0.0;0;;;224.37801106770826;;;
7;7;the;822;425;851;440;432.5;0.0;1;[];[];0.0;0.0;0;;;187.37801106770826;;;
8;8;image;860;425;916;444;434.5;2.0;1;[np.float64(5267.0), np.float64(5273.0), np.float64(5274.0)];[np.float64(0.0), np.float64(0.0), np.float64(2.588171386718841)];734.0;250.0;3;2.684;2.7207;122.37801106770826;2.7;244.6667;250.0
9;9;is;925;425;938;440;432.5;2.0;1;[np.float64(5266.0)];[np.float64(1.9720535278320312)];200.0;200.0;1;2.7138;2.7438;100.37801106770826;2.73;200.0;450.0
10;10;Witch;946;425;999;440;432.5;0.0;1;[np.float64(5269.0), np.float64(5275.0)];[np.float64(0.0), np.float64(2.80538988113409)];317.0;167.0;2;2.702;2.7116;39.37801106770826;2.71;158.5;167.0
11;11;School.;1008;425;1078;440;432.5;0.0;1;[np.float64(5268.0), np.float64(5270.0), np.float64(5276.0)];[np.float64(0.6007648814809272), np.float64(0.0), np.float64(0.0)];450.0;184.0;3;2.688;2.7026;0.0;2.7;150.0;1601.0
