subject,n_prompt,first_response,second_response,model_preference,subject_preference,agreement_subject_model,question_order
Sub01,13,13.1,13.2,13.2,13.2,True,1
Sub01,30,30.1,30.2,30.1,30.1,True,2
Sub01,7,7.1,7.2,7.1,7.1,True,3
Sub01,18,18.1,18.2,18.2,18.1,False,4
Sub01,29,29.1,29.2,29.1,29.1,True,5
Sub01,2,2.1,2.2,2.2,2.1,False,6
Sub01,6,6.1,6.2,6.1,6.2,False,7
Sub01,22,22.1,22.2,22.2,22.2,True,8
Sub01,15,15.1,15.2,15.1,15.1,True,9
Sub01,8,8.2,8.1,8.2,8.1,False,10
Sub01,19,19.1,19.2,19.1,19.2,False,11
Sub01,12,12.1,12.2,12.1,12.1,True,12
Sub01,11,11.1,11.2,11.2,11.2,True,13
Sub01,27,27.2,27.1,27.1,27.1,True,14
Sub01,17,17.2,17.1,17.1,17.2,False,15
Sub01,24,24.1,24.2,24.2,24.2,True,16
Sub01,3,3.2,3.1,3.1,3.2,False,17
Sub01,25,25.2,25.1,25.2,25.2,True,18
Sub01,5,5.2,5.1,5.1,5.1,True,19
Sub01,23,23.1,23.2,23.2,23.2,True,20
Sub01,26,26.1,26.2,26.2,26.1,False,21
Sub01,16,16.2,16.1,16.1,16.1,True,22
Sub01,4,4.2,4.1,4.2,4.2,True,23
Sub01,9,9.1,9.2,9.2,9.2,True,24
Sub01,21,21.2,21.1,21.2,21.2,True,25
Sub01,10,10.1,10.2,10.1,10.2,False,26
Sub01,20,20.1,20.2,20.2,20.2,True,27
Sub01,14,14.2,14.1,14.1,14.1,True,28
Sub01,28,28.2,28.1,28.2,28.1,False,29
Sub01,1,1.1,1.2,1.1,1.1,True,30
Sub02,28,28.1,28.2,28.2,28.2,True,1
Sub02,2,2.1,2.2,2.2,2.1,False,2
Sub02,25,25.1,25.2,25.2,25.2,True,3
Sub02,3,3.1,3.2,3.1,3.1,True,4
Sub02,19,19.1,19.2,19.1,19.2,False,5
Sub02,18,18.2,18.1,18.2,18.2,True,6
Sub02,10,10.1,10.2,10.1,10.2,False,7
Sub02,29,29.1,29.2,29.1,29.2,False,8
Sub02,20,20.2,20.1,20.2,20.2,True,9
Sub02,23,23.2,23.1,23.2,23.2,True,10
Sub02,4,4.2,4.1,4.2,4.2,True,11
Sub02,6,6.2,6.1,6.1,6.2,False,12
Sub02,22,22.1,22.2,22.2,22.2,True,13
Sub02,11,11.2,11.1,11.2,11.1,False,14
Sub02,12,12.2,12.1,12.1,12.1,True,15
Sub02,8,8.1,8.2,8.2,8.1,False,16
Sub02,27,27.2,27.1,27.1,27.1,True,17
Sub02,24,24.2,24.1,24.2,24.1,False,18
Sub02,15,15.1,15.2,15.1,15.1,True,19
