subject,n_prompt,first_response,second_response,model_preference,subject_preference,agreement_subject_model,question_order,metric_mean_abs_first,metric_mean_abs_second,entropy_shannon_first,entropy_shannon_second,entropy_conditional_first,entropy_conditional_second,alpha_asym_F3_minus_F4_first,alpha_asym_F3_minus_F4_second,bp_delta_first,bp_delta_second,bp_theta_first,bp_theta_second,bp_alpha_first,bp_alpha_second,bp_beta_first,bp_beta_second,bp_gamma_first,bp_gamma_second,psd_total_0_40_first,psd_total_0_40_second,plv_mean_weight_delta_first,plv_mean_weight_delta_second,plv_mean_weight_theta_first,plv_mean_weight_theta_second,plv_mean_weight_alpha_first,plv_mean_weight_alpha_second,plv_mean_weight_beta_first,plv_mean_weight_beta_second,plv_mean_weight_gamma_first,plv_mean_weight_gamma_second
Sub01,13,13.1,13.2,13.2,13.2,True,1,4.5598579246463255e-06,4.3077497171194106e-06,5.581826867116314,4.986336746759898,3.00853469606964,3.7833382928469814,-1.5490436991543853e-12,4.362316465047649e-12,9.772274611883017e-12,1.0122186073287094e-11,4.069831916409216e-12,5.0546296326302355e-12,2.7333628625391154e-12,6.2156354086457125e-12,6.279686802091624e-12,4.116741409216508e-12,1.2436656276258453e-12,9.474651569034378e-13,2.7206748501611628e-11,2.549430379030313e-11,0.41741948782421895,0.3658248136365299,0.40076672246088185,0.3198271033349823,0.33312614833996046,0.33490176238323716,0.24679052601730164,0.25325323533611155,0.27482040758144916,0.24243843560827227
Sub01,30,30.1,30.2,30.1,30.1,True,2,4.739964825952275e-06,4.6610661553714115e-06,5.224161070243497,5.4515626634578815,3.51337611893664,3.4276811021351232,5.633632040772615e-12,1.7799705727918592e-14,1.3995282726058898e-11,1.1546237782472084e-11,3.7451626353682745e-12,7.66700137853556e-12,4.015626241562633e-12,4.274623263803843e-12,6.412931985258333e-12,4.720158912616075e-12,1.051843900729427e-12,4.921706309143193e-13,3.219467448503077e-11,2.6372011177289177e-11,0.36296604636200275,0.38127369482494133,0.33922952704229925,0.375107097310755,0.31838449958582965,0.34429450295864533,0.23750527240141797,0.26781585846717404,0.21937250317592166,0.24109597708751077
Sub01,7,7.1,7.2,7.1,7.1,True,3,4.3969835682173284e-06,4.191948218716681e-06,5.132901506516858,5.6547539320424915,2.8934690663327665,3.390159154752716,1.3014975623871725e-12,-1.0063676256558716e-12,7.384079638422489e-12,7.935077292633316e-12,1.4283118895854575e-12,5.820848465425151e-12,3.4781305430331587e-12,2.2184352827723277e-12,3.5286305100474717e-12,5.299431222517671e-12,4.227317142478029e-13,6.271001728274398e-13,1.863903104688508e-11,2.4571485982057245e-11,0.4577330794375605,0.3646674013607923,0.4536468510416464,0.3734204721266828,0.42889768069703277,0.34038229379926327,0.28386781268932104,0.27935911663763224,0.3313952346280541,0.2540928671652353
Sub01,18,18.1,18.2,18.2,18.1,False,4,4.5144411019115415e-06,4.605583888350986e-06,5.438126996099687,5.125237095327959,3.1518286518383523,2.6151387874869014,3.634028257849701e-12,2.007396917090986e-12,1.0125721483748008e-11,1.5032394992594548e-11,2.9748056272717698e-12,2.5288826468273796e-11,3.4203315886698413e-12,2.8434653766198135e-12,3.908684607799973e-12,3.1633047649444782e-12,6.887449737976884e-13,3.608523024924808e-13,2.303519338666965e-11,3.394625195962126e-11,0.4080809587738643,0.6255238105674764,0.3881391004356253,0.49160954433191595,0.35567600183562853,0.4160896851809849,0.29649646780910666,0.3239690439032889,0.28381262426665826,0.32411370113649995
Sub01,29,29.1,29.2,29.1,29.1,True,5,5.203313130939122e-06,4.539575882385936e-06,4.733977970844175,5.658373805879714,2.580532772013416,2.95228724643047,-2.1077826637805132e-12,-1.694236670293011e-12,9.85612178501789e-12,9.64845172736154e-12,1.7110938560026214e-11,7.386412655228187e-12,6.3692919584247e-12,5.347928247780483e-12,2.696658106423737e-12,4.559042602198594e-12,8.209415426189531e-13,6.01321193420197e-13,2.4741134632371127e-11,2.6049571953493736e-11,0.755523201061609,0.3848760059646183,0.5682958208605184,0.40059761033048624,0.5997468660628439,0.3422195298082897,0.33484432193116254,0.2840998120080287,0.3557762479168812,0.22950376695785005
Sub01,2,2.1,2.2,2.2,2.1,False,6,4.188146464813238e-06,4.004404945909562e-06,5.636190836442749,5.410201600763182,3.2428230273760437,3.098293271120716,-1.4512930186261147e-12,-1.7293791454888463e-12,5.695809877933128e-12,3.522442406655146e-12,8.225322031266918e-12,4.47993828304962e-12,3.5880747777965216e-12,5.879594816294659e-12,5.3685105578644565e-12,6.075240624124129e-12,5.539594440438531e-13,5.373168573888145e-13,2.1738984601522616e-11,2.2585807547480183e-11,0.4004546837163989,0.390325031756989,0.37277700392182106,0.37840189498080185,0.35934449069489566,0.40965376435297884,0.28174251671384154,0.3096932423514523,0.2711078632594454,0.26820863441302795
Sub01,6,6.1,6.2,6.1,6.2,False,7,3.9641883381397265e-06,4.179997551510176e-06,5.62420456854306,5.514393292829258,3.1132047576472086,3.532011270731528,-1.613604267238774e-14,-8.751331293508326e-13,8.671591028033615e-12,6.715468275807439e-12,4.4949184145745874e-12,7.586263572627278e-12,5.343966504903322e-12,4.01062981432495e-12,2.9736778312095324e-12,4.7654541629378605e-12,5.889623553484137e-13,5.628703579147474e-13,2.2559089946505557e-11,2.2519192450707925e-11,0.3673665291245865,0.36219600605550656,0.3426411812540378,0.36313496571002857,0.3715327530322321,0.3381224908204562,0.24892706697740852,0.2831259901061758,0.2588709865950557,0.26482895490796504
Sub01,22,22.1,22.2,22.2,22.2,True,8,4.439112074595515e-06,4.405229304360147e-06,5.639384641709692,5.231797742406321,3.4580914726699556,2.8035840601342756,-1.7827896186919165e-12,-2.550345937985557e-12,8.525407624950042e-12,5.487600191230038e-12,5.638370609641617e-12,1.3647020050516715e-12,3.5260004924423274e-12,4.722496158602715e-12,6.323294205959138e-12,6.212406503381663e-12,7.168600495143824e-13,7.346201085135142e-13,2.17827273146891e-11,2.2069409318677702e-11,0.3865383973039262,0.5169222095640189,0.34980250372410576,0.476288702820379,0.3599487290556432,0.422378420147962,0.26924315161515805,0.29938396149867164,0.24980279514895065,0.30792136800697356
Sub01,15,15.1,15.2,15.1,15.1,True,9,5.574230971899893e-06,4.105498021605406e-06,5.170249769747962,5.625465599910037,2.805636862164764,3.6326323865505343,3.3954359173917248e-12,6.475696308185456e-12,5.931220680177974e-12,1.2708583043628916e-11,8.467606186248554e-12,7.300698157913357e-12,2.7510288056425422e-12,4.479781538669053e-12,5.843062346430176e-12,4.8371477104786676e-12,1.3566173964361695e-12,7.832134132792009e-13,3.009727453370271e-11,2.4574911997450494e-11,0.49015116921523266,0.3166195051395047,0.43825218045122744,0.3320286710570963,0.4252949715138745,0.3145564260738934,0.2968038543953713,0.2491465511511691,0.2964094853199461,0.23574499778858193
Sub01,8,8.2,8.1,8.2,8.1,False,10,4.506573732611415e-06,4.043833879218523e-06,5.374250425706864,5.832784457346165,3.120699056586258,3.467336375107182,-5.917481107773813e-12,-6.808308032757413e-13,5.899486523000992e-12,8.393140046915774e-12,5.277052445663522e-12,8.656579966428602e-12,4.355318362796299e-12,6.148125214240699e-12,4.856648065995183e-12,8.152009049155113e-12,9.767637389579526e-13,9.743678901969216e-13,2.18026323888893e-11,2.4798018999189338e-11,0.4393409397787243,0.3402781758065284,0.405254585468752,0.37361424848673586,0.37545517525698485,0.3305582139089138,0.2906054735647183,0.28984180209242943,0.2677529795124767,0.25718595091204627
Sub01,19,19.1,19.2,19.1,19.2,False,11,4.2455658081376235e-06,4.20432010246808e-06,5.658483132198264,5.548427693877809,3.7998334559438005,2.951595078915726,-9.043616475811461e-13,-1.5816186453393311e-12,5.591101948616652e-12,5.25495484852985e-12,2.5025890280938538e-12,3.143620894867531e-12,3.1418884147622896e-12,3.4945719000212797e-12,1.0278505647577744e-11,6.4019463131378674e-12,7.09736090552656e-13,6.935293758915633e-13,2.2970976746044e-11,2.0918605855587937e-11,0.3434793544823476,0.35312500438790034,0.34310617053654735,0.3609564589791649,0.33691559164960644,0.36252665123164085,0.2905426187096127,0.3120510350056805,0.2849524069476474,0.2865122871508615
Sub01,12,12.1,12.2,12.1,12.1,True,12,4.272459754371612e-06,4.43629443628921e-06,5.665905067804217,5.60502940369382,3.207244530566354,3.1028991725130446,4.726148501144573e-12,-6.930481447938931e-13,1.1723775370433729e-11,1.9885154520299962e-11,3.5981332111812006e-12,6.072543048439893e-12,7.62534839744579e-12,6.393470317886244e-12,4.4382522831509656e-12,4.905269127118315e-12,5.348943392018506e-13,5.112718019762465e-13,2.2599428032727802e-11,2.8795709029741926e-11,0.3800176109162141,0.37402430585525714,0.3664454592639147,0.3594327123254475,0.3531293309734373,0.37085786494338946,0.30919253395084034,0.30711072385932364,0.3155779590523621,0.29332340136545515
