;number_words_mean;avg_word_length_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;2.0;5.5;237.5;1229.5;2.5;2.69;0.0;1646.0;2459.0;7.1;0.5;0.0;0.0;0.5;0.5;0.0;aleix;1;
1;47.0;4.43;77.2979;88.2766;0.383;2.5747;0.7895;276.6;4149.0;7.2;0.2766;0.7021;0.2766;0.7021;0.234;0.7447;aleix;1;
2;76.0;4.41;89.8684;162.7895;0.3947;2.5581;0.7742;601.8571;12372.0;12.2;0.2632;0.7237;0.2237;0.7632;0.25;0.7368;aleix;1;
3;16.0;4.19;120.3125;120.3125;0.375;2.6267;0.5714;387.5;1925.0;12.1;0.3125;0.625;0.3125;0.625;0.25;0.6875;aleix;1;
4;30.0;4.3;98.9333;98.9333;0.3333;2.638;0.8182;296.8;2968.0;8.1;0.2667;0.7;0.2667;0.7;0.2333;0.7333;aleix;1;
5;;;;;;;;;;8.2;;;;;;;aleix;1;True
6;19.0;3.89;154.7368;271.7895;0.6316;2.5371;0.5385;737.7143;5164.0;19.2;0.3158;0.6316;0.3158;0.6316;0.2105;0.7368;aleix;1;
7;115.0;4.5;133.0435;154.8435;0.5565;2.5111;0.7692;349.8302;17807.0;19.1;0.3565;0.6348;0.3391;0.6522;0.3391;0.6522;aleix;1;
8;14.0;6.0;138.2857;154.9286;0.5714;2.6;0.6667;309.8571;2169.0;29.2;0.4286;0.5;0.3571;0.5714;0.3571;0.5714;aleix;1;
9;3.0;5.0;80.3333;147.0;0.6667;2.68;0.0;441.0;441.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;aleix;1;
10;74.0;4.62;125.4189;148.8514;0.473;2.6303;0.8056;367.1667;11015.0;9.1;0.3108;0.6757;0.3108;0.6757;0.2703;0.7162;aleix;1;
11;59.0;4.58;134.8644;155.2203;0.4915;2.6129;0.8;559.0833;9158.0;9.2;0.322;0.661;0.322;0.661;0.2881;0.6949;aleix;1;
12;48.0;4.04;124.9167;133.9583;0.4375;2.59;0.7273;380.5263;6430.0;22.1;0.25;0.7292;0.25;0.7292;0.2292;0.75;aleix;1;
13;8.0;6.5;141.875;346.0;1.25;2.662;0.3636;753.6;2768.0;22.2;0.625;0.25;0.5;0.375;0.5;0.375;aleix;1;
14;108.0;4.56;106.25;125.0833;0.5648;2.5594;0.8065;295.48;13509.0;3.1;0.3611;0.6296;0.3519;0.6389;0.3056;0.6852;aleix;1;
15;39.0;4.72;137.6154;149.5897;0.5385;2.5689;0.6818;392.6667;5834.0;3.2;0.2564;0.7179;0.2564;0.7179;0.2308;0.7436;aleix;1;
16;53.0;4.98;109.1321;119.0377;0.6038;2.5611;0.8182;225.3214;6309.0;30.1;0.3396;0.6415;0.3774;0.6038;0.2642;0.717;aleix;1;
17;41.0;4.0;98.3902;103.2683;0.4634;2.6228;0.85;235.2222;4234.0;30.2;0.2927;0.6829;0.2927;0.6829;0.2439;0.7317;aleix;1;
18;55.0;4.0;139.0909;185.0;0.6182;2.5596;0.8;418.5385;10175.0;21.1;0.2909;0.6909;0.2909;0.6909;0.2364;0.7455;aleix;1;
19;136.0;4.16;111.4632;138.4926;0.5221;2.4718;0.7917;408.2642;18835.0;21.2;0.3162;0.6765;0.3088;0.6838;0.2941;0.6985;aleix;1;
20;35.0;5.66;106.6571;163.2286;0.6857;2.5873;0.68;412.0;5713.0;17.2;0.2857;0.6857;0.3429;0.6286;0.3143;0.6571;aleix;1;
21;2.0;9.5;383.0;1050.0;3.0;2.635;0.1429;1200.0;2100.0;17.1;0.5;0.0;0.5;0.0;0.5;0.0;aleix;1;
22;7.0;5.29;86.8571;86.8571;0.2857;2.865;0.0;470.5;608.0;11.1;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;aleix;1;
23;15.0;5.07;22.2;22.2;0.1333;2.55;0.3333;166.5;333.0;11.2;0.1333;0.8;0.1333;0.8;0.1333;0.8;aleix;1;
24;89.0;4.64;21.7079;22.8315;0.1011;2.6675;0.7;254.0;2032.0;20.1;0.0787;0.9101;0.0787;0.9101;0.0787;0.9101;aleix;1;
25;34.0;3.79;70.9118;70.9118;0.3824;2.57;0.8571;185.4615;2411.0;20.2;0.3529;0.6176;0.3529;0.6176;0.3235;0.6471;aleix;1;
26;73.0;4.44;137.6849;152.7671;0.5616;2.6164;0.7381;340.7353;11152.0;27.1;0.3425;0.6438;0.3562;0.6301;0.2877;0.6986;aleix;1;
27;90.0;4.77;112.2111;123.3333;0.5556;2.64;0.8431;259.8409;11100.0;27.2;0.3333;0.6556;0.3222;0.6667;0.2778;0.7111;aleix;1;
28;21.0;4.48;109.9524;130.2381;0.4286;2.6675;0.7;341.875;2735.0;16.1;0.2857;0.6667;0.2857;0.6667;0.2381;0.7143;aleix;1;
29;38.0;4.76;116.6579;172.8158;0.6316;2.59;0.76;400.0;6567.0;16.2;0.3684;0.6053;0.3421;0.6316;0.3158;0.6579;aleix;1;
30;7.0;3.43;82.1429;248.8571;0.7143;2.665;0.3333;871.0;1742.0;13.1;0.2857;0.5714;0.2857;0.5714;0.2857;0.5714;aleix;1;
31;98.0;4.2;96.6633;113.7653;0.4694;2.5639;0.8085;303.7949;11149.0;13.2;0.3061;0.6837;0.3163;0.6735;0.2857;0.7041;aleix;1;
32;73.0;4.6;98.3973;137.6849;0.5616;2.5543;0.7619;382.0;10051.0;28.1;0.3562;0.6301;0.3562;0.6301;0.3151;0.6712;aleix;1;
33;28.0;3.18;67.9286;71.5;0.3929;2.606;0.75;200.2;2002.0;28.2;0.2857;0.6786;0.2857;0.6786;0.2857;0.6786;aleix;1;
34;41.0;4.32;118.7073;121.3415;0.4878;2.5537;0.7619;289.8947;4975.0;2.1;0.3902;0.5854;0.3659;0.6098;0.3171;0.6585;aleix;1;
35;30.0;4.3;114.4333;117.7667;0.4;2.5527;0.7692;321.1818;3533.0;2.2;0.3333;0.6333;0.3333;0.6333;0.3333;0.6333;aleix;1;
36;7.0;3.71;152.2857;219.0;0.7143;2.63;0.1667;633.0;1533.0;18.2;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;aleix;1;
37;8.0;4.88;104.25;176.125;0.75;2.5775;0.4286;435.75;1409.0;18.1;0.375;0.5;0.375;0.5;0.25;0.625;aleix;1;
38;89.0;4.3;107.8427;148.4719;0.6067;2.6354;0.7455;366.1842;13214.0;5.1;0.3483;0.6404;0.3483;0.6404;0.236;0.7528;aleix;1;
39;55.0;4.58;110.8364;128.4182;0.4909;2.5904;0.8571;298.4583;7063.0;5.2;0.3636;0.6182;0.3636;0.6182;0.2727;0.7091;aleix;1;
40;58.0;3.9;115.8276;145.0172;0.5345;2.5921;0.75;432.4167;8411.0;6.1;0.3276;0.6552;0.3448;0.6379;0.2586;0.7241;aleix;1;
41;57.0;4.12;136.0526;151.2632;0.5439;2.6208;0.8438;326.0357;8622.0;6.2;0.3158;0.6667;0.3333;0.6491;0.2632;0.7193;aleix;1;
42;106.0;4.65;130.5472;159.3113;0.5566;2.6273;0.8667;366.2653;16887.0;24.1;0.3491;0.6415;0.3585;0.6321;0.2925;0.6981;aleix;1;
43;110.0;4.23;92.6727;104.2636;0.4091;2.6398;0.8261;295.9;11469.0;24.2;0.2909;0.7;0.3;0.6909;0.2364;0.7545;aleix;1;
44;82.0;4.55;117.7683;162.1463;0.6341;2.6203;0.717;376.6486;13296.0;4.1;0.3293;0.6585;0.3537;0.6341;0.2805;0.7073;aleix;1;
45;101.0;5.11;127.6238;164.2673;0.6337;2.6169;0.7692;409.0;16591.0;4.2;0.3564;0.6337;0.3663;0.6238;0.3069;0.6832;aleix;1;
46;15.0;4.67;97.6667;124.3333;0.5333;2.7;0.5556;371.1429;1865.0;15.1;0.4;0.5333;0.4;0.5333;0.3333;0.6;aleix;1;
47;66.0;5.61;88.7273;117.6212;0.4545;2.5813;0.7419;333.5;7763.0;15.2;0.2879;0.697;0.303;0.6818;0.2727;0.7121;aleix;1;
48;93.0;5.25;111.3226;132.3763;0.5591;2.6734;0.8113;284.3409;12311.0;10.1;0.3763;0.6129;0.3441;0.6452;0.2903;0.6989;aleix;1;
49;72.0;4.94;83.8889;103.4306;0.5139;2.5227;0.8158;301.4839;7447.0;10.2;0.3333;0.6528;0.3194;0.6667;0.3194;0.6667;aleix;1;
50;85.0;4.95;114.8353;137.2;0.5412;2.6062;0.766;395.5263;11662.0;26.2;0.3059;0.6824;0.3176;0.6706;0.2471;0.7412;aleix;1;
51;21.0;5.0;146.0;146.0;0.4286;2.6533;0.7;366.5556;3066.0;26.1;0.3333;0.619;0.3333;0.619;0.2857;0.6667;aleix;1;
52;112.0;5.06;107.2589;139.3839;0.5625;2.6235;0.7656;348.6327;15611.0;14.1;0.3304;0.6607;0.3304;0.6607;0.2768;0.7143;aleix;1;
53;101.0;4.92;67.1089;89.8218;0.4455;2.5856;0.7391;289.8182;9072.0;14.2;0.2772;0.7129;0.2772;0.7129;0.2475;0.7426;aleix;1;
54;116.0;4.3;111.569;136.1379;0.5517;2.6612;0.8154;374.7885;15792.0;25.2;0.3103;0.681;0.319;0.6724;0.3103;0.681;aleix;1;
55;120.0;4.68;111.25;143.0;0.575;2.6161;0.7857;363.2549;17160.0;25.1;0.3167;0.675;0.3167;0.675;0.2583;0.7333;aleix;1;
56;46.0;4.07;82.7391;113.1739;0.5435;2.6207;0.6923;384.0556;5206.0;1.2;0.3261;0.6522;0.3261;0.6522;0.3261;0.6522;aleix;1;
57;12.0;4.17;77.9167;77.9167;0.3333;2.76;0.6;233.75;935.0;1.1;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;aleix;1;
