;trial;discarted;calibrate;mean_distance;mean_distance_cal;mean_distance_10;mean_distance_cal_10;mean_distance_nr;fix_removed
0;7.1;False;True;13.99;2.52;;;;0
1;7.2;False;True;34.37;27.25;;;;0
2;12.2;False;False;19.31;30.4;;;;0
3;12.1;False;False;13.09;17.97;;;;0
4;8.1;False;True;12.29;5.69;;;;0
5;8.2;True;False;;;;;;0
6;19.2;False;True;19.63;4.24;;;;0
7;19.1;False;False;15.09;33.86;;;;0
8;29.2;False;True;15.84;6.1;;;;0
9;29.1;False;False;17.77;50.33;;;;0
10;9.1;False;False;14.39;25.49;;;;0
11;9.2;False;False;9.76;31.87;;;;0
12;22.1;False;False;10.78;37.12;;;;0
13;22.2;False;False;14.3;23.12;;;;0
14;3.1;False;True;19.19;15.97;;;;0
15;3.2;False;False;10.48;30.05;;;;0
16;30.1;False;False;12.82;36.82;;;;0
17;30.2;False;False;9.33;38.76;;;;0
18;21.1;False;False;11.68;72.38;;;;0
19;21.2;False;False;18.17;20.73;;;;0
20;17.2;False;False;16.55;53.11;;;;0
21;17.1;False;False;9.3;142.96;;;;0
22;11.1;False;True;4.9;0.0;;;;0
23;11.2;False;True;21.68;9.62;;;;0
24;20.1;False;False;8.84;34.16;;;;0
25;20.2;False;True;21.42;9.76;;;;0
26;27.1;False;False;10.31;25.71;;;;0
27;27.2;False;False;11.46;23.95;;;;0
28;16.1;False;False;14.1;83.72;;;;0
29;16.2;False;False;12.18;49.87;;;;0
30;13.1;False;True;16.36;7.54;;;;0
31;13.2;False;False;18.89;20.93;;;;0
32;28.1;False;False;12.03;17.28;;;;0
33;28.2;False;False;13.5;77.81;;;;0
34;2.1;False;False;10.65;29.64;;;;0
35;2.2;False;True;12.62;9.13;;;;0
36;18.2;False;True;13.51;7.92;;;;0
37;18.1;False;True;20.98;1.49;;;;0
38;5.1;False;False;13.47;36.28;;;;0
39;5.2;False;False;14.73;32.14;;;;0
40;6.1;False;False;22.39;28.23;;;;0
41;6.2;False;False;17.65;32.28;;;;0
42;24.1;False;True;18.3;11.97;;;11.67;1
43;24.2;False;False;15.32;22.99;;;;0
44;4.1;False;False;17.44;26.0;;;;0
45;4.2;False;True;16.69;10.08;;;;0
46;15.1;False;False;19.34;20.87;;;;0
47;15.2;False;True;19.58;16.45;;;;0
48;10.1;False;True;27.43;6.41;;;;0
49;10.2;False;False;13.75;38.93;;;;0
50;26.2;False;True;26.85;6.31;;;;0
51;26.1;False;False;13.33;58.04;;;;0
52;14.1;False;False;17.38;41.91;;;;0
53;14.2;False;False;14.08;18.05;;;;0
54;25.2;False;True;16.6;14.26;;;;0
55;25.1;False;False;19.46;32.19;;;;0
56;1.2;False;False;15.87;46.69;;;;0
57;1.1;False;False;13.17;20.05;;;;0
58;23.1;False;False;16.68;38.47;;;;0
59;23.2;False;True;16.25;13.17;;;;0
60;7.0;False;False;13.73;;;;5.27;1
61;12.0;False;False;9.61;34.18;;;;0
62;8.0;False;False;11.07;16.94;;;;0
63;19.0;False;False;1.98;62.09;;;;0
64;29.0;False;False;6.94;44.07;;;;0
65;9.0;False;False;0.82;17.55;;;;0
66;22.0;False;False;3.33;26.9;;;;0
67;3.0;False;True;8.34;1.03;;;;0
68;30.0;False;False;3.1;24.16;;;;0
69;21.0;False;False;11.94;19.34;;;;0
70;17.0;False;False;3.98;32.96;;;;0
71;11.0;False;False;2.14;44.27;;;;0
72;20.0;True;False;;;;;;0
73;27.0;False;False;8.42;18.46;;;;0
74;16.0;False;False;15.89;19.16;;;;0
75;13.0;False;False;5.51;25.26;;;;0
76;28.0;False;False;14.24;18.06;;;;0
77;2.0;False;False;5.87;47.61;;;;0
78;18.0;False;True;16.86;4.06;;;;0
79;5.0;False;False;7.92;16.12;;;;0
80;6.0;False;False;1.14;48.35;;;;0
81;24.0;False;False;0.0;71.47;;;;0
82;4.0;False;False;11.61;46.0;;;;0
83;15.0;False;False;3.2;64.1;;;;0
84;10.0;False;False;4.29;74.45;;;;0
85;26.0;False;False;7.83;54.62;;;;0
86;14.0;False;False;8.38;29.7;;;;0
87;25.0;False;False;1.18;47.39;;;;0
88;1.0;False;False;1.61;87.73;;;;0
89;23.0;False;False;2.26;35.19;;;;0
