;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;The;252;220;289;235;227.5;;1;[];[];0.0;0.0;0;;;830.454549870185;;;
1;1;quote;297;220;350;239;229.5;2.0;1;[np.float64(1484.0)];[np.float64(42.18601697683334)];800.0;800.0;1;2.7621;3.1842;774.1142561220787;2.97;800.0;800.0
2;2;"""Little";358;220;410;235;227.5;2.0;1;[];[];0.0;0.0;0;;;723.3859180334431;;;
3;3;things;418;220;475;239;229.5;2.0;1;[];[];0.0;0.0;0;;;665.6842750594259;;;
4;4;can;483;224;516;235;229.5;0.0;1;[];[];0.0;0.0;0;;;633.723672206182;;;
5;5;grow;525;224;571;239;231.5;2.0;1;[np.float64(1485.0)];[np.float64(44.252453565597534)];400.0;400.0;1;2.7847;3.1908;586.9015646293662;2.99;400.0;400.0
6;6;"big""";579;220;613;239;229.5;2.0;1;[];[];0.0;0.0;0;;;554.1444076542348;;;
7;7;is;622;220;636;235;227.5;2.0;1;[np.float64(1486.0)];[np.float64(58.46140241622925)];267.0;267.0;1;2.7481;3.1095;539.4191861096937;2.93;267.0;267.0
8;8;significant;644;220;740;239;229.5;2.0;1;[np.float64(1487.0)];[np.float64(49.000513553619385)];300.0;300.0;1;2.7297;3.0763;464.2378914144086;2.9;300.0;300.0
9;9;because;749;220;829;235;227.5;2.0;1;[np.float64(1488.0)];[np.float64(55.256768822669926)];400.0;400.0;1;2.7246;3.0506;416.4707729595122;2.89;400.0;400.0
10;10;it;837;220;846;235;227.5;0.0;1;[];[];0.0;0.0;0;;;408.24741051667104;;;
11;11;emphasizes;854;220;968;239;229.5;2.0;1;[np.float64(1489.0)];[np.float64(52.90263074636459)];266.0;266.0;1;2.7632;3.0621;363.43199435318377;2.91;266.0;266.0
12;12;the;976;220;1006;235;227.5;2.0;1;[];[];0.0;0.0;0;;;362.1543442123933;;;
13;13;importance;1014;220;1119;239;229.5;2.0;1;[np.float64(1490.0)];[np.float64(45.35729064941404)];508.0;508.0;1;2.7971;3.1815;356.8277579087477;2.99;508.0;508.0
14;14;of;1127;220;1145;235;227.5;2.0;1;[];[];0.0;0.0;0;;;371.8900321881514;;;
15;15;small;1152;220;1200;235;227.5;0.0;1;[np.float64(1491.0)];[np.float64(41.443203353881756)];666.0;666.0;1;2.82;3.1698;378.7198576083582;2.99;666.0;666.0
16;16;actions;1209;220;1276;235;227.5;0.0;1;[];[];0.0;0.0;0;;;399.7389513426909;;;
17;17;and;248;302;282;317;309.5;82.0;2;[];[];0.0;0.0;0;;;804.8127592436513;;;
18;18;their;290;302;333;317;309.5;0.0;2;[];[];0.0;0.0;0;;;757.1774612556826;;;
19;19;potential;340;302;420;321;311.5;2.0;2;[];[];0.0;0.0;0;;;675.41204153552;;;
20;20;to;428;302;445;317;309.5;2.0;2;[];[];0.0;0.0;0;;;654.3489760215414;;;
21;21;have;454;302;499;317;309.5;0.0;2;[];[];0.0;0.0;0;;;605.933904772938;;;
22;22;a;507;306;517;317;311.5;2.0;2;[];[];0.0;0.0;0;;;590.0110183697363;;;
23;23;significant;525;302;621;321;311.5;0.0;2;[];[];0.0;0.0;0;;;498.5586858929902;;;
24;24;impact;630;302;692;321;311.5;0.0;2;[];[];0.0;0.0;0;;;441.06022409231053;;;
25;25;over;699;306;741;317;311.5;0.0;2;[];[];0.0;0.0;0;;;406.62359864052553;;;
26;26;time.;748;302;793;317;309.5;2.0;2;[];[];0.0;0.0;0;;;370.49418719304106;;;
27;27;In;803;302;818;317;309.5;0.0;2;[];[];0.0;0.0;0;;;354.5313487546947;;;
28;28;the;826;302;856;317;309.5;0.0;2;[];[];0.0;0.0;0;;;332.4075957298946;;;
29;29;image,;864;302;925;321;311.5;2.0;2;[];[];0.0;0.0;0;;;296.7615589529644;;;
30;30;the;934;302;964;317;309.5;2.0;2;[];[];0.0;0.0;0;;;288.2176933583527;;;
31;31;shadows;972;302;1056;317;309.5;0.0;2;[];[];0.0;0.0;0;;;278.8277579087477;;;
32;32;of;1064;302;1082;317;309.5;0.0;2;[];[];0.0;0.0;0;;;280.1349260423854;;;
33;33;four;1089;302;1126;317;309.5;0.0;2;[];[];0.0;0.0;0;;;283.640813873398;;;
34;34;people;1134;302;1196;321;311.5;2.0;2;[];[];0.0;0.0;0;;;291.45368644482284;;;
35;35;are;1204;306;1234;317;311.5;0.0;2;[];[];0.0;0.0;0;;;325.02949100400326;;;
36;36;cast;1242;302;1281;317;309.5;2.0;2;[];[];0.0;0.0;0;;;346.0960884948391;;;
