;number;text;x1;y1;x2;y2;y;diff_y;line;fixations;fix_distance;fix_duration;first_fix_duration;fix_number;pupil_l;pupil_r;distance;pupil;fix_duration_avg;go_past_time
0;0;Can;496;770;533;786;778.0;;1;[];[];0.0;0.0;0;;;238.26800918579102;;;
1;1;you;542;774;574;790;782.0;4.0;1;[np.float64(2170.0)];[np.float64(3.414501190185547)];166.0;166.0;1;3.3246;3.3217;197.26800918579102;3.32;166.0;166.0
2;2;find;582;770;615;786;778.0;4.0;1;[np.float64(2199.0)];[np.float64(0.0)];183.0;183.0;1;3.3615;3.3581;156.26800918579102;3.36;183.0;183.0
3;3;the;624;770;652;786;778.0;0.0;1;[np.float64(2175.0), np.float64(2198.0)];[np.float64(1.108311653137207), np.float64(1.2750768661499023)];283.0;150.0;2;3.4748;3.5324;119.26800918579102;3.5;141.5;150.0
4;4;flock;660;770;703;786;778.0;0.0;1;[np.float64(2174.0), np.float64(2200.0)];[np.float64(8.83957345145086), np.float64(2.2483597535353965)];449.0;233.0;2;3.5198;3.547;68.26800918579102;3.53;224.5;383.0
5;5;of;711;770;729;786;778.0;0.0;1;[np.float64(2171.0), np.float64(2201.0)];[np.float64(5.567863082885765), np.float64(1.5982589721679688)];316.0;166.0;2;3.3564;3.3461;42.268009185791016;3.35;158.0;166.0
6;6;birds;737;770;781;786;778.0;0.0;1;[np.float64(2173.0), np.float64(2176.0), np.float64(2202.0)];[np.float64(4.685271263122445), np.float64(7.312845611572357), np.float64(0.0)];700.0;100.0;3;3.5479;3.5858;0.0;3.57;233.3333;983.0
7;7;flying;788;770;837;790;780.0;2.0;1;[np.float64(2172.0), np.float64(2177.0)];[np.float64(4.757974340687631), np.float64(0.0)];450.0;200.0;2;3.5847;3.6158;16.731990814208984;3.6;225.0;1433.0
8;8;over;846;774;886;786;780.0;0.0;1;[np.float64(2178.0), np.float64(2192.0)];[np.float64(2.7391215562820435), np.float64(0.0)];484.0;134.0;2;3.5417;3.5472;74.73199081420898;3.54;242.0;134.0
9;9;the;893;770;922;786;778.0;2.0;1;[np.float64(2179.0), np.float64(2191.0)];[np.float64(0.9827649593353271), np.float64(12.418672561645508)];226.0;134.0;2;3.4299;3.4097;121.73199081420898;3.42;113.0;134.0
10;10;cloudy;930;770;990;790;780.0;2.0;1;[np.float64(2180.0), np.float64(2193.0), np.float64(2196.0)];[np.float64(0.0), np.float64(0.0), np.float64(3.5783988512479254)];650.0;183.0;3;3.4338;3.3956;158.73199081420898;3.41;216.6667;875.0
11;11;sky?;999;770;1039;790;780.0;0.0;1;[np.float64(2194.0), np.float64(2197.0)];[np.float64(0.0), np.float64(1.628441946847147)];307.0;191.0;2;3.3616;3.3097;227.73199081420898;3.34;153.5;1306.0
