;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session
0;89;160.9101;209.1573;1.0;2.4478;0.6889;340.8594;18615.0;5.1;0.4607;0.5281;0.4607;0.5281;0.3483;0.6404;lorenzo_ciocca;1
1;55;129.5636;215.8;1.1818;2.3959;0.6364;411.3514;11869.0;5.2;0.4909;0.4909;0.4364;0.5455;0.4182;0.5636;lorenzo_ciocca;1
2;116;126.8448;190.4224;1.0517;2.3854;0.626;350.9753;22089.0;25.2;0.4655;0.5259;0.431;0.5603;0.3621;0.6293;lorenzo_ciocca;1
3;120;119.9333;212.7083;1.125;2.3932;0.6324;354.15;25525.0;25.1;0.4583;0.5333;0.425;0.5667;0.3583;0.6333;lorenzo_ciocca;1
4;8;148.0;874.0;3.125;2.4129;0.3077;1139.5714;6992.0;22.2;0.5;0.375;0.375;0.5;0.375;0.5;lorenzo_ciocca;1
5;48;129.4375;232.1458;1.3125;2.3883;0.625;472.6667;11143.0;22.1;0.4792;0.5;0.4792;0.5;0.3542;0.625;lorenzo_ciocca;1
6;108;126.5648;161.3426;0.8426;2.3532;0.7283;295.9565;17425.0;3.1;0.4259;0.5648;0.3981;0.5926;0.3519;0.6389;lorenzo_ciocca;1
7;39;136.5897;213.3077;1.2821;2.3409;0.5686;308.7273;8319.0;3.2;0.4615;0.5128;0.4103;0.5641;0.2821;0.6923;lorenzo_ciocca;1
8;12;143.0833;244.5833;1.0833;2.4086;0.5;636.1429;2935.0;1.1;0.3333;0.5833;0.4167;0.5;0.3333;0.5833;lorenzo_ciocca;1
9;46;140.3696;312.7826;1.6304;2.3783;0.5658;443.0;14388.0;1.2;0.413;0.5652;0.3913;0.587;0.3261;0.6522;lorenzo_ciocca;1
10;115;131.9217;211.6609;1.0957;2.3718;0.6614;461.1026;24341.0;19.1;0.4522;0.5391;0.4522;0.5391;0.3652;0.6261;lorenzo_ciocca;1
11;19;171.1579;413.6316;2.0;2.3647;0.5128;712.2667;7859.0;19.2;0.4211;0.5263;0.4737;0.4737;0.2632;0.6842;lorenzo_ciocca;1
12;74;146.3514;200.0676;0.9324;2.4031;0.6714;326.5882;14805.0;9.1;0.473;0.5135;0.5135;0.473;0.3243;0.6622;lorenzo_ciocca;1
13;59;117.2034;151.5254;0.8983;2.389;0.7222;249.325;8940.0;9.2;0.4746;0.5085;0.4576;0.5254;0.3729;0.6102;lorenzo_ciocca;1
14;53;95.434;154.3962;0.8679;2.397;0.6809;330.5333;8183.0;30.1;0.4151;0.566;0.4151;0.566;0.3774;0.6038;lorenzo_ciocca;1
15;41;115.439;188.2195;1.0732;2.3742;0.6222;359.9231;7717.0;30.2;0.5122;0.4634;0.439;0.5366;0.3902;0.5854;lorenzo_ciocca;1
16;15;157.6667;244.2667;1.0667;2.426;0.5882;443.1;3664.0;15.1;0.4;0.5333;0.4667;0.4667;0.3333;0.6;lorenzo_ciocca;1
17;66;171.0606;360.3182;1.9545;2.3774;0.6615;510.0517;23781.0;15.2;0.4545;0.5303;0.5455;0.4394;0.3939;0.5909;lorenzo_ciocca;1
18;41;152.0488;311.8537;1.6341;2.3856;0.6618;427.1875;12786.0;23.1;0.4146;0.561;0.5122;0.4634;0.3659;0.6098;lorenzo_ciocca;1
19;12;201.3333;564.3333;2.5;2.395;0.5484;702.2;6772.0;23.2;0.5;0.4167;0.5;0.4167;0.4167;0.5;lorenzo_ciocca;1
20;35;149.0286;196.6571;1.1429;2.4013;0.6098;333.5667;6883.0;17.2;0.6;0.3714;0.5143;0.4571;0.2857;0.6857;lorenzo_ciocca;1
21;2;341.5;1382.5;5.5;2.345;0.1667;1599.0;2765.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;lorenzo_ciocca;1
22;7;115.2857;271.4286;1.4286;2.465;0.4545;510.25;1900.0;13.1;0.5714;0.2857;0.5714;0.2857;0.5714;0.2857;lorenzo_ciocca;1
23;98;132.7551;193.6531;1.0918;2.3776;0.6759;328.1857;18978.0;13.2;0.4898;0.5;0.4796;0.5102;0.3571;0.6327;lorenzo_ciocca;1
24;8;137.5;325.0;1.625;2.4267;0.4286;789.1667;2600.0;18.1;0.5;0.375;0.375;0.5;0.5;0.375;lorenzo_ciocca;1
25;7;151.1429;251.1429;1.0;2.35;0.5;483.2;1758.0;18.2;0.5714;0.2857;0.5714;0.2857;0.4286;0.4286;lorenzo_ciocca;1
26;30;82.2333;107.2667;0.6;2.3647;0.6842;223.4667;3218.0;2.2;0.3667;0.6;0.3333;0.6333;0.3333;0.6333;lorenzo_ciocca;1
27;41;145.0976;226.9512;1.1707;2.4;0.5918;377.7857;9305.0;2.1;0.4878;0.4878;0.3902;0.5854;0.3902;0.5854;lorenzo_ciocca;1
28;3;158.3333;735.6667;3.0;2.4067;0.2;810.6667;2207.0;29.1;0.0;0.6667;0.0;0.6667;0.0;0.6667;lorenzo_ciocca;1
29;14;125.5;239.7857;1.3571;2.425;0.45;500.5;3357.0;29.2;0.4286;0.5;0.4286;0.5;0.3571;0.5714;lorenzo_ciocca;1
30;76;139.5395;201.0526;1.1053;2.3669;0.6471;331.7241;15280.0;12.2;0.5;0.4868;0.4737;0.5132;0.3421;0.6447;lorenzo_ciocca;1
31;16;119.3125;138.0;0.75;2.466;0.5385;265.8;2208.0;12.1;0.4375;0.5;0.4375;0.5;0.25;0.6875;lorenzo_ciocca;1
32;82;119.6098;167.7805;1.0;2.3913;0.6506;290.7273;13758.0;4.1;0.4878;0.5;0.4878;0.5;0.4146;0.5732;lorenzo_ciocca;1
33;101;130.9307;219.4851;1.1188;2.3627;0.6404;390.1406;22168.0;4.2;0.4554;0.5347;0.4455;0.5446;0.4257;0.5644;lorenzo_ciocca;1
34;21;126.1429;180.1429;1.1429;2.4117;0.64;359.7778;3783.0;16.1;0.5714;0.381;0.4762;0.4762;0.3333;0.619;lorenzo_ciocca;1
35;38;98.5789;133.4737;0.7895;2.4287;0.6774;237.2174;5072.0;16.2;0.4474;0.5263;0.4737;0.5;0.3421;0.6316;lorenzo_ciocca;1
36;89;127.7416;202.5618;1.1011;2.365;0.6566;351.5333;18028.0;20.1;0.4944;0.4944;0.4831;0.5056;0.4045;0.5843;lorenzo_ciocca;1
37;34;88.2941;105.7059;0.5588;2.4367;0.65;249.6;3594.0;20.2;0.3529;0.6176;0.3529;0.6176;0.2941;0.6765;lorenzo_ciocca;1
38;90;119.5778;141.7333;0.8222;2.3992;0.7333;240.2623;12756.0;27.2;0.4444;0.5444;0.4667;0.5222;0.3444;0.6444;lorenzo_ciocca;1
39;73;99.9041;105.1507;0.589;2.3688;0.8636;212.439;7676.0;27.1;0.4247;0.5616;0.4247;0.5616;0.3151;0.6712;lorenzo_ciocca;1
