Unnamed: 0,trial,discarted,calibrate,mean_distance,mean_distance_cal,mean_distance_10,mean_distance_cal_10,mean_distance_nr,fix_removed,best
0,28.1,False,False,3.86,5.14,,,,0,False
1,28.2,False,True,8.33,7.56,,,0.84,1,True
2,2.1,False,False,3.23,4.4,,,,0,True
3,2.2,False,True,13.76,12.97,,,,0,False
4,25.1,False,False,2.81,6.98,,,,0,False
5,25.2,False,False,1.6,3.08,,,,0,True
6,3.1,False,False,2.3,3.14,,,,0,True
7,3.2,False,False,0.62,2.57,,,,0,False
8,19.1,False,False,3.3,28.99,,,,0,False
9,19.2,False,False,0.75,4.36,,,,0,True
10,18.2,False,False,1.17,21.71,,,,0,False
11,18.1,False,False,17.11,25.45,,,12.05,1,True
12,10.1,False,False,1.24,1.34,,,,0,False
13,10.2,False,False,1.26,3.19,,,,0,True
14,29.1,False,False,1.72,73.35,,,,0,False
15,29.2,False,False,0.84,81.24,,,,0,True
16,20.2,False,False,2.99,18.75,,,,0,False
17,20.1,False,False,2.28,2.65,,,,0,True
18,23.2,False,False,1.13,2.28,,,,0,False
19,23.1,False,False,1.1,37.51,,,,0,True
20,4.2,False,False,1.47,23.49,,,,0,False
21,4.1,False,False,1.12,29.28,,,,0,True
22,6.2,False,False,1.53,46.7,,,,0,False
23,6.1,False,False,1.78,22.66,,,,0,True
24,22.1,False,False,1.6,1.73,,,,0,False
25,22.2,False,False,0.36,2.79,,,,0,True
26,11.2,False,False,1.54,20.53,,,,0,True
27,11.1,False,False,7.51,62.91,,,,0,False
28,12.2,False,False,2.59,8.48,,,,0,True
29,12.1,False,False,2.14,25.75,,,,0,False
30,8.1,False,False,1.73,22.49,,,,0,True
31,8.2,False,False,0.69,41.63,,,,0,False
32,27.2,False,False,1.44,5.69,,,,0,True
33,27.1,False,False,0.67,32.6,,,,0,False
34,24.2,False,False,2.17,19.29,,,,0,True
35,24.1,False,False,1.11,45.27,,,,0,False
36,15.1,False,False,2.01,75.18,,,,0,True
37,15.2,False,False,3.64,22.29,,,,0,False
38,16.2,False,False,3.84,38.52,,,,0,True
39,16.1,False,False,10.79,122.7,,,,0,False
40,7.1,False,False,1.76,71.17,,,,0,False
41,7.2,False,False,1.89,49.28,,,,0,True
42,5.2,False,False,1.4,71.75,,,,0,True
43,5.1,False,False,1.77,23.28,,,,0,False
44,9.1,False,False,1.43,1.58,,,,0,False
45,9.2,False,False,1.36,41.47,,,,0,True
46,26.2,False,False,3.53,23.02,,,,0,True
47,26.1,False,False,2.59,88.27,,,,0,False
48,17.1,False,False,0.0,66.29,,,,0,True
49,17.2,False,False,3.97,29.94,,,,0,False
50,14.1,False,False,6.66,19.55,,,,0,False
51,14.2,False,False,8.81,31.15,,,,0,True
52,1.2,False,False,1.17,10.01,,,,0,False
53,1.1,False,False,0.73,35.27,,,,0,True
54,13.1,False,False,0.95,63.67,,,,0,False
55,13.2,False,False,0.73,44.31,,,,0,True
56,21.2,False,False,1.29,38.92,,,,0,False
57,21.1,False,False,0.68,51.92,,,,0,True
58,30.2,False,False,0.66,45.5,,,,0,False
59,30.1,False,False,2.02,37.98,,,,0,True
60,28.0,False,False,6.07,,,,,0,False
61,2.0,False,False,5.2,6.74,,,,0,False
62,25.0,False,False,1.27,1.8,,,,0,False
63,3.0,False,False,0.0,0.0,,,,0,False
64,19.0,False,False,0.0,0.61,,,,0,False
65,18.0,False,True,1.51,0.09,,,,0,False
66,10.0,False,False,1.17,5.72,,,,0,False
67,29.0,False,True,5.49,2.54,,,,0,False
68,20.0,False,False,7.49,66.54,,,,0,False
69,23.0,False,False,0.39,0.82,,,,0,False
70,4.0,False,False,5.03,27.42,,,,0,False
71,6.0,False,False,3.71,29.91,,,,0,False
72,22.0,False,False,34.81,39.01,,,6.39,1,False
73,11.0,False,True,6.82,3.4,,,,0,False
74,12.0,False,False,7.7,49.11,,,,0,False
75,8.0,False,False,5.9,8.31,,,,0,False
76,27.0,False,False,0.71,33.55,,,,0,False
77,24.0,False,False,3.81,22.35,,,,0,False
78,15.0,False,False,3.85,124.25,,,,0,False
79,16.0,False,False,2.41,10.42,,,,0,False
80,7.0,False,False,0.5,116.31,,,,0,False
81,5.0,False,False,15.84,55.89,,,,0,False
82,9.0,False,False,7.91,38.53,,,,0,False
83,26.0,False,False,5.59,47.03,,,,0,False
84,17.0,False,False,7.65,88.44,,,,0,False
85,14.0,False,False,9.95,17.86,,,,0,False
86,1.0,False,False,0.46,39.64,,,,0,False
87,13.0,False,False,4.14,23.33,,,,0,False
88,21.0,False,False,8.41,91.59,,,,0,False
89,30.0,False,False,8.13,78.38,,,,0,False
