;number_words_mean;first_fix_duration_mean;fix_duration_mean;fix_number_mean;pupil_mean;fixations_regressions_mean;go_past_time_mean;trt_trial;trial;fix_duration_increase;fix_duration_decrease;first_fix_duration_increase;first_fix_duration_decrease;fix_number_increase;fix_number_decrease;user;session;discarted
0;108.0;167.1296;213.9815;0.787;3.1239;0.7558;376.0147;23110.0;3.1;0.4907;0.5;0.4907;0.5;0.3611;0.6296;ralitsa;1;
1;39.0;204.5385;278.5128;1.1282;3.0407;0.5778;477.6207;10862.0;3.2;0.5128;0.4615;0.5385;0.4359;0.3333;0.641;ralitsa;1;
2;21.0;138.2381;199.7143;0.8571;3.14;0.5789;382.3077;4194.0;26.1;0.4762;0.4762;0.4286;0.5238;0.3333;0.619;ralitsa;1;
3;85.0;161.1529;191.7176;0.7529;3.0452;0.7692;325.0769;16296.0;26.2;0.4118;0.5765;0.4353;0.5529;0.3176;0.6706;ralitsa;1;
4;3.0;330.6667;330.6667;0.6667;3.145;0.3333;496.0;992.0;29.1;0.3333;0.3333;0.3333;0.3333;0.3333;0.3333;ralitsa;1;
5;14.0;221.3571;386.7857;1.2857;3.1591;0.5263;636.0;5415.0;29.2;0.4286;0.5;0.5;0.4286;0.2857;0.6429;ralitsa;1;
6;47.0;79.234;95.0;0.3617;3.085;0.7778;398.7143;4465.0;7.2;0.234;0.7447;0.2128;0.766;0.1915;0.7872;ralitsa;1;
7;;;;;;;;;7.1;;;;;;;ralitsa;1;True
8;115.0;150.0087;179.6522;0.7043;3.0171;0.7439;345.7344;20660.0;19.1;0.4522;0.5391;0.4696;0.5217;0.3652;0.6261;ralitsa;1;
9;19.0;95.9474;152.0526;0.5263;3.0386;0.5455;412.7143;2889.0;19.2;0.2632;0.6842;0.2632;0.6842;0.2632;0.6842;ralitsa;1;
10;12.0;134.8333;221.6667;0.75;3.146;0.6;727.2;2660.0;1.1;0.3333;0.5833;0.3333;0.5833;0.25;0.6667;ralitsa;1;
11;46.0;157.4348;196.3913;0.7174;3.0412;0.7059;368.6154;9034.0;1.2;0.4348;0.5435;0.413;0.5652;0.3913;0.587;ralitsa;1;
12;41.0;147.5366;243.0;0.9268;3.0433;0.5897;452.8636;9963.0;23.1;0.3902;0.5854;0.3902;0.5854;0.3902;0.5854;ralitsa;1;
13;12.0;272.25;684.0;2.3333;3.0533;0.5862;889.2;8208.0;23.2;0.4167;0.5;0.4167;0.5;0.5;0.4167;ralitsa;1;
14;53.0;154.283;192.4906;0.7736;3.0453;0.7619;334.9091;10202.0;30.1;0.4528;0.5283;0.4528;0.5283;0.3774;0.6038;ralitsa;1;
15;41.0;190.9024;315.4878;1.122;3.1338;0.7447;988.5556;12935.0;30.2;0.4634;0.5122;0.5122;0.4634;0.3415;0.6341;ralitsa;1;
16;7.0;123.8571;250.0;0.8571;3.2467;0.2857;583.3333;1750.0;13.1;0.4286;0.4286;0.4286;0.4286;0.4286;0.4286;ralitsa;1;
17;98.0;135.0102;145.7245;0.5816;3.0264;0.8276;290.8269;14281.0;13.2;0.4082;0.5816;0.398;0.5918;0.2755;0.7143;ralitsa;1;
18;30.0;177.8667;259.7667;0.9333;3.1678;0.6552;470.9444;7793.0;8.1;0.4667;0.5;0.4667;0.5;0.4333;0.5333;ralitsa;1;
19;16.0;171.875;567.625;1.375;3.0878;0.5652;1009.1111;9082.0;8.2;0.3125;0.625;0.375;0.5625;0.375;0.5625;ralitsa;1;
20;116.0;178.3707;195.1034;0.6379;2.953;0.8133;408.6667;22632.0;25.2;0.3448;0.6466;0.3448;0.6466;0.2414;0.75;ralitsa;1;
21;120.0;147.225;180.4333;0.7417;3.0194;0.7667;325.0141;21652.0;25.1;0.45;0.5417;0.4333;0.5583;0.3667;0.625;ralitsa;1;
22;30.0;190.0333;199.4667;0.5;3.055;0.75;480.7692;5984.0;2.2;0.3333;0.6333;0.3333;0.6333;0.2667;0.7;ralitsa;1;
23;;;;;;;;;2.1;;;;;;;ralitsa;1;True
24;;;;;;;;;18.2;;;;;;;ralitsa;1;True
25;8.0;110.25;268.625;0.75;3.2333;0.4286;716.3333;2149.0;18.1;0.25;0.625;0.375;0.5;0.25;0.625;ralitsa;1;
26;101.0;152.0;198.2079;0.6931;3.0894;0.7324;420.8654;20019.0;4.2;0.3762;0.6139;0.3564;0.6337;0.3069;0.6832;ralitsa;1;
27;82.0;171.4756;222.4634;0.6585;3.01;0.7455;527.8158;18242.0;4.1;0.3659;0.622;0.3415;0.6463;0.3537;0.6341;ralitsa;1;
28;34.0;154.6471;259.5294;1.0;3.1478;0.6;487.9;8824.0;20.2;0.4412;0.5294;0.4118;0.5588;0.3529;0.6176;ralitsa;1;
29;89.0;143.2247;159.5281;0.6067;2.9317;0.8364;320.4375;14198.0;20.1;0.4494;0.5393;0.4494;0.5393;0.3933;0.5955;ralitsa;1;
30;15.0;160.3333;174.7333;0.6;3.1238;0.6;405.75;2621.0;15.1;0.4667;0.4667;0.4667;0.4667;0.4;0.5333;ralitsa;1;
31;66.0;141.5909;160.6364;0.6364;2.9714;0.814;319.8649;10602.0;15.2;0.4394;0.5455;0.4697;0.5152;0.3485;0.6364;ralitsa;1;
32;93.0;170.7957;214.4301;0.8495;3.0293;0.7625;336.4355;19942.0;10.1;0.4731;0.5161;0.4839;0.5054;0.3656;0.6237;ralitsa;1;
33;72.0;153.4028;194.9583;0.7222;3.0895;0.7736;341.3571;14037.0;10.2;0.4722;0.5139;0.4583;0.5278;0.4167;0.5694;ralitsa;1;
34;112.0;141.0536;160.4643;0.6161;2.9747;0.8429;303.7;17972.0;14.1;0.4018;0.5893;0.4018;0.5893;0.3304;0.6607;ralitsa;1;
35;101.0;134.9604;153.3663;0.604;3.1422;0.8226;306.8846;15490.0;14.2;0.4257;0.5644;0.4356;0.5545;0.3564;0.6337;ralitsa;1;
36;35.0;132.6857;165.5143;0.6571;3.0172;0.6667;363.4444;5793.0;17.2;0.4;0.5714;0.4;0.5714;0.2857;0.6857;ralitsa;1;
37;2.0;209.0;1154.5;3.5;3.23;0.25;1154.5;2309.0;17.1;0.5;0.0;0.0;0.5;0.5;0.0;ralitsa;1;
38;74.0;174.8108;239.3378;0.8784;3.012;0.7424;400.413;17711.0;9.1;0.5;0.4865;0.4595;0.527;0.4189;0.5676;ralitsa;1;
39;59.0;159.8136;175.3559;0.5424;2.9689;0.7879;620.8148;10346.0;9.2;0.322;0.661;0.339;0.6441;0.3051;0.678;ralitsa;1;
40;16.0;178.5625;327.9375;0.9375;3.04;0.5;522.4545;5247.0;12.1;0.375;0.5625;0.375;0.5625;0.3125;0.625;ralitsa;1;
41;76.0;173.8421;204.0921;0.7763;2.9312;0.7667;333.74;15511.0;12.2;0.4342;0.5526;0.4474;0.5395;0.3421;0.6447;ralitsa;1;
42;38.0;156.8684;229.0;0.8947;2.9992;0.6286;449.4167;8702.0;16.2;0.4474;0.5263;0.4211;0.5526;0.3158;0.6579;ralitsa;1;
43;21.0;155.1905;183.7143;0.8095;2.9669;0.6111;369.9231;3858.0;16.1;0.4762;0.4762;0.4762;0.4762;0.4286;0.5238;ralitsa;1;
44;90.0;175.2222;192.2556;0.5889;2.9455;0.7963;406.4255;17303.0;27.2;0.4;0.5889;0.4111;0.5778;0.2889;0.7;ralitsa;1;
45;73.0;168.2329;181.9452;0.6986;2.9627;0.8077;315.1957;13282.0;27.1;0.3836;0.6027;0.3836;0.6027;0.3425;0.6438;ralitsa;1;
46;55.0;144.4;179.5636;0.7455;2.9296;0.7143;318.5806;9876.0;21.1;0.4182;0.5636;0.4545;0.5273;0.4364;0.5455;ralitsa;1;
47;136.0;138.5147;176.5662;0.6544;2.9217;0.7667;438.7391;24013.0;21.2;0.375;0.6176;0.3897;0.6029;0.3162;0.6765;ralitsa;1;
48;8.0;186.75;354.5;1.25;3.026;0.0909;1106.4;2836.0;22.2;0.375;0.5;0.25;0.625;0.375;0.5;ralitsa;1;
49;48.0;142.4583;157.2292;0.6458;2.8752;0.75;336.5556;7547.0;22.1;0.4583;0.5208;0.4583;0.5208;0.3542;0.625;ralitsa;1;
50;15.0;240.5333;348.9333;1.2;3.0355;0.5263;494.8182;5234.0;11.2;0.4667;0.4667;0.4667;0.4667;0.3333;0.6;ralitsa;1;
51;7.0;179.8571;256.1429;0.8571;3.1075;0.2857;548.25;1793.0;11.1;0.4286;0.4286;0.2857;0.5714;0.4286;0.4286;ralitsa;1;
52;89.0;138.1461;164.4382;0.6517;3.044;0.8305;301.7347;14635.0;5.1;0.4382;0.5506;0.427;0.5618;0.3933;0.5955;ralitsa;1;
53;55.0;159.4364;181.8727;0.7636;2.9823;0.7674;299.1667;10003.0;5.2;0.4364;0.5455;0.4;0.5818;0.3273;0.6545;ralitsa;1;
54;73.0;150.0137;165.5342;0.6164;2.9385;0.7826;356.5;12084.0;28.1;0.411;0.5753;0.411;0.5753;0.3014;0.6849;ralitsa;1;
55;28.0;100.5357;102.8929;0.4643;3.1955;0.7143;276.1667;2881.0;28.2;0.3929;0.5714;0.3929;0.5714;0.3214;0.6429;ralitsa;1;
56;58.0;127.4828;139.8276;0.5517;3.0364;0.7576;313.1429;8110.0;6.1;0.3793;0.6034;0.3621;0.6207;0.3103;0.6724;ralitsa;1;
57;57.0;134.4035;159.807;0.6316;2.9638;0.8108;300.7812;9109.0;6.2;0.4386;0.5439;0.4211;0.5614;0.3333;0.6491;ralitsa;1;
58;106.0;152.8491;276.9245;1.066;2.9519;0.6842;545.6721;29354.0;24.1;0.3774;0.6132;0.4057;0.5849;0.3208;0.6698;ralitsa;1;
59;110.0;144.1091;154.7273;0.5818;2.9637;0.8615;306.2881;17020.0;24.2;0.4364;0.5545;0.4364;0.5545;0.3636;0.6273;ralitsa;1;
60;8.0;289.5;590.875;2.0;3.2014;0.5882;813.4286;4727.0;3.0;0.5;0.375;0.5;0.375;0.5;0.375;ralitsa;1;
61;12.0;170.8333;223.6667;0.8333;3.07;0.5455;426.2857;2684.0;26.0;0.5;0.4167;0.3333;0.5833;0.4167;0.5;ralitsa;1;
62;13.0;172.3077;233.7692;0.9231;2.9422;0.5385;434.6667;3039.0;29.0;0.4615;0.4615;0.4615;0.4615;0.3077;0.6154;ralitsa;1;
63;8.0;193.75;334.375;1.25;2.9133;0.6364;526.3333;2675.0;7.0;0.5;0.375;0.625;0.25;0.25;0.625;ralitsa;1;
64;8.0;135.375;135.375;0.5;3.185;0.6;270.75;1083.0;19.0;0.375;0.5;0.375;0.5;0.375;0.5;ralitsa;1;
65;11.0;97.0;97.0;0.3636;3.1425;0.6;266.75;1067.0;1.0;0.3636;0.5455;0.3636;0.5455;0.2727;0.6364;ralitsa;1;
66;13.0;127.0769;192.4615;0.7692;2.94;0.2727;645.0;2502.0;23.0;0.4615;0.4615;0.2308;0.6923;0.3846;0.5385;ralitsa;1;
67;12.0;125.1667;125.1667;0.4167;3.096;0.6667;300.4;1502.0;30.0;0.25;0.6667;0.25;0.6667;0.25;0.6667;ralitsa;1;
68;10.0;118.4;118.4;0.5;2.76;0.6667;236.8;1184.0;13.0;0.4;0.5;0.4;0.5;0.3;0.6;ralitsa;1;
