trial,word_number,text,fixprop
1.1,0,The,0.1
1.1,1,name,0.3
1.1,2,of,0.1
1.1,3,the,0.1
1.1,4,school,0.8
1.1,5,mentioned,0.8
1.1,6,in,0.2
1.1,7,the,0.7
1.1,8,image,0.7
1.1,9,is,0.3
1.1,10,Witch,0.9
1.1,11,School.,0.7
1.2,0,The,0.3
1.2,1,image,0.7
1.2,2,shows,0.6
1.2,3,a,0.4
1.2,4,book,0.4
1.2,5,called,0.6
1.2,6,"""Witch",0.8
1.2,7,"School""",0.6
1.2,8,with,0.6
1.2,9,an,0.7
1.2,10,old,0.7
1.2,11,witch's,0.9
1.2,12,hat,0.6
1.2,13,on,0.7
1.2,14,it.,0.4
1.2,15,It,0.3
1.2,16,has,0.5
1.2,17,been,0.6
1.2,18,written,0.9
1.2,19,by,0.5
1.2,20,a,0.1
1.2,21,person,0.8
1.2,22,named,1.0
1.2,23,"""J.""",0.7
1.2,24,and,0.7
1.2,25,appears,0.9
1.2,26,to,0.4
1.2,27,be,0.2
1.2,28,published,1.0
1.2,29,by,0.4
1.2,30,a,0.0
1.2,31,company,0.8
1.2,32,known,0.9
1.2,33,as,0.3
1.2,34,"""The",0.2
1.2,35,Witches',1.0
1.2,36,Hat,0.6
1.2,37,"Company,""",0.9
1.2,38,which,0.6
1.2,39,may,0.5
1.2,40,have,0.6
1.2,41,multiple,0.7
1.2,42,titles,0.5
1.2,43,under,0.8
1.2,44,that,0.6
1.2,45,name.,0.3
2.1,0,The,0.0
2.1,1,image,0.6
2.1,2,shows,0.8
2.1,3,a,0.2
2.1,4,street,0.9
2.1,5,scene,0.6
2.1,6,with,0.6
2.1,7,traffic,0.8
2.1,8,signs,0.6
2.1,9,in,0.3
2.1,10,the,0.3
2.1,11,"foreground,",0.9
2.1,12,but,0.5
2.1,13,there,0.6
2.1,14,is,0.2
2.1,15,no,0.2
2.1,16,visible,0.9
2.1,17,purple,0.7
2.1,18,umbrella,0.9
2.1,19,near,0.4
2.1,20,any,0.3
2.1,21,green,0.6
2.1,22,leaves.,0.7
2.1,23,It,0.1
2.1,24,might,0.8
2.1,25,not,0.5
2.1,26,be,0.5
2.1,27,included,0.7
2.1,28,in,0.2
2.1,29,the,0.3
2.1,30,frame,0.6
2.1,31,of,0.3
2.1,32,this,0.4
2.1,33,picture,0.8
2.1,34,or,0.0
2.1,35,it,0.1
2.1,36,might,0.9
2.1,37,be,0.3
2.1,38,obscured,0.7
2.1,39,from,0.4
2.1,40,view.,0.7
2.2,0,"Yes,",0.5
2.2,1,there,0.9
2.2,2,is,0.4
2.2,3,a,0.3
2.2,4,purple,0.4
2.2,5,umbrella,0.9
2.2,6,near,0.4
2.2,7,the,0.3
2.2,8,green,0.7
2.2,9,leaves,0.8
2.2,10,in,0.3
2.2,11,the,0.1
2.2,12,image.,0.8
2.2,13,It,0.3
2.2,14,appears,0.8
2.2,15,to,0.1
2.2,16,be,0.4
2.2,17,left,0.5
2.2,18,behind,0.9
2.2,19,by,0.1
2.2,20,"someone,",0.8
2.2,21,possibly,0.7
2.2,22,a,0.2
