;mean;std
31;0.2552366025400639;0.263243257873866
30;0.3852316066417407;0.20908376750590515
29;0.2816804984250767;0.2122705960510759
28;0.2911994595533955;0.220458643290181
27;0.3508907995973209;0.21484423283738294
26;0.3729888291494181;0.21448745954308734
25;0.32218684091738875;0.21469369494427612
24;0.35492871230739875;0.2056934204528872
23;0.43420009446578833;0.19622896316365324
22;0.3433015060945341;0.19012689530176405
21;0.3763640304447627;0.2028796608517674
20;0.3559969318337976;0.1998696839608368
19;0.42703827653116616;0.18170784606469279
18;0.3917974443183368;0.19963813113216253
17;0.376913146361751;0.1984698227338769
16;0.3715479066200334;0.2110365563810602
15;0.36570483048798264;0.20965158106567602
14;0.3580532825499211;0.1865590950305296
13;0.3194242802313574;0.2216504536378523
12;0.3440966874208327;0.20590354354919024
11;0.3093188058512509;0.22189469485453728
10;0.30063475425636066;0.21765400730890253
9;0.36068937573290044;0.20953678595819908
8;0.3106451043623409;0.23068344887210143
7;0.29886949683976705;0.23614766787687105
6;0.2479040092233617;0.24182697031052205
5;0.317475250610732;0.2358986166115985
4;0.4035434370055511;0.2181650781907621
3;0.25543608367468434;0.24473049228908575
2;0.3986157199009532;0.2338192881457289
1;-0.021145412164947124;0.28032328865906536
0;0.024036918463800877;0.2928796331467052
