;mean;std
31;0.2865759825075791;0.25448774591748324
30;0.4176291091302102;0.19237128213749813
29;0.3034114891748104;0.22100321763469755
28;0.32276707459193305;0.2243629142343558
27;0.3834866908099286;0.20118899236102467
26;0.40070379589705457;0.20136732015980258
25;0.3451027666003533;0.20570346760170863
24;0.3834264809105499;0.20020815936669129
23;0.46474363886508424;0.19278077658769002
22;0.3747333243818345;0.1831333360880814
21;0.415923858513483;0.18148958067683607
20;0.38171508470749804;0.198559944809147
19;0.45784618000525795;0.17905588282307874
18;0.42113186854715584;0.20825345970114484
17;0.409241424361622;0.19284590010458583
16;0.398287519202046;0.20653582869223122
15;0.39620447533986153;0.20644027793325948
14;0.3759488402837715;0.19749610942159923
13;0.3417927787123027;0.22616939982052478
12;0.3675368841326737;0.20114081532813727
11;0.3343862576201265;0.22288113034711934
10;0.3224871740654721;0.21470927834382322
9;0.3920007970317855;0.1961275647350938
8;0.343077417972462;0.22024746410006987
7;0.3164548767371322;0.24413151763104024
6;0.2647686803639984;0.2373496854374623
5;0.3526536562902114;0.22614477814844694
4;0.4386182391902779;0.2017228968822939
3;0.28278077290013615;0.25434797248641744
2;0.42454414884326186;0.2352323971991278
1;-0.025943217451627334;0.29661671776379184
0;0.030582812068295887;0.30348439389804677
