;mean;std
31;0.23413284150717242;0.18998411085293831
30;0.3635344002173278;0.157214203271367
29;0.241076165311285;0.14150023851657417
28;0.24196326857629674;0.15120712268787567
27;0.32242733017441616;0.15744043816714187
26;0.3480811121920922;0.15515709598807753
25;0.27950067801673256;0.1861314062949948
24;0.3133819959073929;0.13489099310256683
23;0.4161917168360155;0.14204440659761203
22;0.31277416903476335;0.13834622689046852
21;0.3644427080816818;0.13865455991612785
20;0.3500315393241888;0.13337463147505338
19;0.38825407015848157;0.13290859364645644
18;0.371361958493943;0.16754206225490478
17;0.3469236299061684;0.14961021660690577
16;0.37282686257829595;0.1606573377361125
15;0.35328050022422464;0.13270567666459257
14;0.3465700260859697;0.13568815489640768
13;0.3404132496093897;0.13573708512609808
12;0.3362473800236836;0.13536096021023764
11;0.30714346309244545;0.14125965008517774
10;0.3191673162866135;0.15487981359796393
9;0.370365784283615;0.15136473380898446
8;0.32488002419855183;0.14360635018846774
7;0.3073594636129311;0.1483554007806317
6;0.2397399802292816;0.16051174865939521
5;0.3147902192120767;0.15491626017581223
4;0.39137642660277117;0.1669382517964754
3;0.23362123393389295;0.15881299145922526
2;0.34805150155390624;0.1715447363506143
1;-0.0886615091349721;0.212955476177882
0;-0.021448034327026685;0.2120818345956747
