;mean;std
31;0.30201981436802383;0.15044799456624774
30;0.44044441521549;0.15203705613529056
29;0.31189035134232984;0.17973098952575922
28;0.31740954583917574;0.19247780404649442
27;0.40311141141117324;0.17870279193943867
26;0.42399409370742974;0.1633848149673967
25;0.352378442743632;0.2002551454450089
24;0.3977833245670674;0.1610525670739993
23;0.4952637969284595;0.15908451615382121
22;0.38970213527821757;0.154869891384934
21;0.43882480418638997;0.1537232399844873
20;0.4258992746838254;0.1624749232505447
19;0.46635696314213554;0.14692787063574944
18;0.4514311540279557;0.17499452296434367
17;0.40869662017221414;0.13985046998053788
16;0.4607218259977406;0.16715731018124255
15;0.42189099721531176;0.16628715502575628
14;0.3914459078870073;0.12653617948388232
13;0.40572308758518655;0.16892600075365846
12;0.38993583886375244;0.12036355157891095
11;0.3723265108694166;0.1679213032467236
10;0.39578887447638367;0.183783943167539
9;0.44419593320283246;0.16686141254031583
8;0.39852720060343605;0.1658240197246487
7;0.3850283391199702;0.16374172687985047
6;0.3267011951012714;0.17878602815095845
5;0.40845636690929443;0.165624983735346
4;0.4795823384962325;0.14769378570174052
3;0.30789440978599397;0.17997449319020692
2;0.4473298340737867;0.14584331160387257
1;-0.016633179921938104;0.2479017241376308
0;0.0534376205850498;0.2307470736327286
