text;attention
The;8.6548456e-11
man;8.153817e-11
is;7.995406e-11
performing;9.00365e-11
a;8.164305e-11
skateboarding;1.7033017e-10
trick;7.8842356e-11
known;8.137984e-11
as;8.168106e-11
an;7.722279e-11
"""ollie.""";1.3056953e-10
This;8.451502e-11
is;7.9040205e-11
a;7.906297e-11
fundamental;9.2210864e-11
skateboarding;1.4928442e-10
trick;7.612684e-11
where;8.165146e-11
the;8.1815464e-11
rider;9.4556696e-11
and;7.7479495e-11
board;7.8006795e-11
leap;9.037786e-11
into;7.9380585e-11
the;7.588532e-11
air;7.603223e-11
without;8.207101e-11
the;7.73087e-11
use;8.015256e-11
of;7.6521935e-11
the;7.554263e-11
rider's;9.962293e-11
hands.;1.0
The;8.171331e-11
trick;7.7569104e-11
is;7.548185e-11
executed;8.124274e-11
by;7.614267e-11
snapping;9.2583254e-11
the;7.5081094e-11
tail;8.103351e-11
of;7.42589e-11
the;7.345118e-11
skateboard;9.0682455e-11
down;7.291753e-11
while;7.695606e-11
jumping,;8.9629734e-11
which;7.461726e-11
causes;7.9303106e-11
the;7.3670056e-11
board;7.3427646e-11
to;7.246527e-11
pop;8.120819e-11
into;7.56111e-11
the;7.1869254e-11
air.;7.8026585e-11
It;7.517051e-11
appears;8.0739304e-11
that;7.4875446e-11
he;7.46725e-11
is;7.3322536e-11
doing;7.75805e-11
this;7.376201e-11
on;7.4518974e-11
a;7.262246e-11
city;7.6972206e-11
street;7.3668516e-11
with;7.430793e-11
buildings;7.4328196e-11
and;7.333513e-11
clear;7.777385e-11
blue;7.5665633e-11
skies;7.534362e-11
in;7.1859935e-11
the;7.0592726e-11
background.;7.095869e-11
