;mean;std
31;0.22804053735642693;0.2434974230632494
30;0.3773286098006012;0.16381962843263764
29;0.2691273730196665;0.16462393915167475
28;0.21730718683287065;0.19989799535500155
27;0.327443776976898;0.1901012215432575
26;0.3354379349531822;0.18899625916049975
25;0.29060229493244527;0.21457389971808194
24;0.33306714006047705;0.17669777135131198
23;0.44287426142162784;0.1641258329317458
22;0.3290845904288858;0.1695313064964792
21;0.3754365573103388;0.177155192226804
20;0.33122078573843183;0.16949340710069996
19;0.39972901345611883;0.14915460871850675
18;0.40929592753053395;0.1531530307173119
17;0.37154168961538886;0.16010168019117135
16;0.3598479684284049;0.18612880531633233
15;0.3547735426201604;0.17021520447574603
14;0.3301155351205507;0.1767506268317377
13;0.31433649443024336;0.17796295390633218
12;0.32848203982712615;0.18339406927170016
11;0.31885019683828436;0.1800019493024411
10;0.293688793206002;0.17968510261471568
9;0.36032226214264274;0.17932719407777786
8;0.29437955096855933;0.19980604096603768
7;0.2836541647224712;0.1876242769690763
6;0.2360249336738949;0.20375429223155564
5;0.2903302557003057;0.20765974456372685
4;0.3703467224819959;0.20367738834830137
3;0.20814634682290434;0.20658396460372458
2;0.34952843297962843;0.2026510198440489
1;-0.059974796488888114;0.24509483512751293
0;-0.0056519558871148;0.2533827160412394
