;mean;std
31;0.2551883220957804;0.24069953080496562
30;0.4013319625774974;0.16692444765645897
29;0.293334749885054;0.1781562879212794
28;0.24004173148071548;0.21453570978790582
27;0.3552152069044968;0.18877693979169358
26;0.3610124105407069;0.1882425241034646
25;0.3176099580677251;0.21358371653156946
24;0.3644101073441056;0.17180045111054784
23;0.4732618197837211;0.16885906461727912
22;0.3587894797877644;0.16279221400483004
21;0.4092134866188638;0.16643850881891867
20;0.3591466969286424;0.17239221569387464
19;0.4230100699347496;0.16142500721027045
18;0.43663019903224276;0.16010473062353558
17;0.4036515212976309;0.1561478797931183
16;0.38537047605324;0.1876766103986981
15;0.38175559575665385;0.17567154108455796
14;0.3512397392485731;0.18004811185148087
13;0.334499552083329;0.18526571034849054
12;0.3448530562139435;0.18379095393776027
11;0.33790339577561984;0.18691755087307882
10;0.3165957748081099;0.1747279243708801
9;0.388392752325438;0.17219612772895146
8;0.3219897134994763;0.18750862792693868
7;0.3038368884220615;0.1933108034585475
6;0.2589758976641087;0.19653492039324108
5;0.3207396421534422;0.1926220463979891
4;0.40334346980477237;0.17988139558793592
3;0.23305830747335876;0.20084911385451923
2;0.38323003298999186;0.19647743401041887
1;-0.05634456655409004;0.25014618543656303
0;0.003756729486229777;0.24933691106282999
