;mean;std
31;0.2935600485870123;0.2074806395704449
30;0.4289420324633745;0.16412844577456426
29;0.31754311352795866;0.18834971714091586
28;0.2630314165775584;0.22052695095789815
27;0.3835578125068303;0.19342562773255
26;0.385221799382693;0.18969333892779686
25;0.34916141365644304;0.2053979867499827
24;0.39530091554607866;0.17324631708743446
23;0.5097671726854472;0.15298116284497823
22;0.39054167732379386;0.1591015638345602
21;0.4380725753360126;0.16843526460533134
20;0.3934300524743493;0.17004616636895378
19;0.45701195661810434;0.1522287387816621
18;0.46989236421713587;0.158651707131881
17;0.42712376612677383;0.1400701257173635
16;0.4274101370218068;0.17597116952323877
15;0.41538349713921985;0.1710551026453336
14;0.3733876075985662;0.16145556335317396
13;0.3685443641052207;0.18355756174771706
12;0.3825190008724463;0.18470981609293938
11;0.3707078678079673;0.18208334406148025
10;0.3508566911784289;0.18314087785421107
9;0.42398351231237064;0.16979059033361255
8;0.3601267877611551;0.1842206716018664
7;0.3389394859390816;0.1870196539187329
6;0.29904632522095526;0.19584748611655525
5;0.36097944740162646;0.1919374354405079
4;0.4409971084811959;0.1773452894220306
3;0.26780694107001785;0.2042922603451643
2;0.4239869667349977;0.18157925101488057
1;-0.014475177328961102;0.2532741105938836
0;0.051875759298048364;0.24401863569390697
