;mean;std
31;0.24731025288627187;0.2734303990161635
30;0.38434843778505934;0.19147818520717205
29;0.28189083435088447;0.19784527145342246
28;0.2424458725120497;0.22893960663948099
27;0.3490799689147727;0.20445457537690034
26;0.3540284332814571;0.21250642478953385
25;0.31651753817806233;0.22953793237637993
24;0.3655411851482666;0.1998531611349109
23;0.4602130490123294;0.187815637424073
22;0.3402849618088196;0.19642424184798174
21;0.3953986597882479;0.2066462189231655
20;0.3509034150101641;0.2000233630091611
19;0.42596296470049355;0.1645853009838525
18;0.4263790019099068;0.16851494730174033
17;0.38417382527635896;0.1813763504318843
16;0.3609869201114116;0.21403022629374444
15;0.3670342747631332;0.2001965601361504
14;0.33484463255896946;0.19878070683179874
13;0.3140144751800391;0.21039009430480426
12;0.33349456652953574;0.21127983315258236
11;0.3157584201036016;0.20926698256798645
10;0.2919567845332684;0.21002567852881418
9;0.3551077288479736;0.20490422093864316
8;0.2919798921784634;0.2410209482286827
7;0.280004660260793;0.22952949568820133
6;0.24160273426848736;0.23731346149259727
5;0.2983537170424638;0.2396759002279939
4;0.3766807687096263;0.22725668883118935
3;0.21784611650424945;0.25972804907286134
2;0.37698321185367045;0.23475256861827284
1;-0.019555620989032015;0.2731807618049786
0;0.016603516806704768;0.29158930742343186
