;mean;std
31;0.2974744726380046;0.253329284832342
30;0.4141977728947255;0.18055611806881272
29;0.30705498836963524;0.2023778520053449
28;0.2576992161403812;0.23259055001390114
27;0.374609797388149;0.1894749333089118
26;0.3757574422839439;0.19940286414563654
25;0.34909764438344243;0.2043384965203423
24;0.40447007288082276;0.17414549294307466
23;0.505635550601915;0.16893061051648206
22;0.38492580797709874;0.16315869095027472
21;0.43994200039004994;0.17538810954391362
20;0.38807307775721034;0.18022981030077623
19;0.4605989463815928;0.15705382883410599
18;0.4631004135424241;0.16137231429442822
17;0.4264458301244777;0.1697993486313118
16;0.40366407445964503;0.1897906175536704
15;0.41291202106905905;0.17577390319284522
14;0.36985022088595193;0.18168555925589633
13;0.3503101617474066;0.1938550751034872
12;0.37208998635704105;0.18358146550994106
11;0.3526900306500753;0.19802355471210886
10;0.3325232585185349;0.1825251605157796
9;0.4049399295097811;0.16765060373194762
8;0.3444451171958586;0.19221536577776652
7;0.3150155604540916;0.21066674772828645
6;0.2775322747821312;0.21099889423293228
5;0.34431706351192104;0.21254406777863322
4;0.42418835328916493;0.19320984824203793
3;0.2497150789496899;0.2426498250051365
2;0.4258777681500433;0.2109891658141511
1;-0.004555143376686614;0.2707223863223692
0;0.04832110911261444;0.27566454193872086
