;mean;std
31;0.21009976772519184;0.2102791921400404
30;0.3707929078840366;0.13266113542211802
29;0.2572441504009463;0.12488759738304313
28;0.19390220361432473;0.16500853222714992
27;0.3072997362071526;0.1732749785930894
26;0.3181295399578918;0.1622030575605888
25;0.2664743098416984;0.19658874999507917
24;0.3028326842890868;0.1456306437452125
23;0.42673125228545744;0.13650773700185342
22;0.31865665845446467;0.13911304339025482
21;0.3568511515550441;0.14187826904780837
20;0.31289557917509486;0.13239413021667393
19;0.3753043002285975;0.1284617743489587
18;0.3933909962118076;0.13539029116202844
17;0.35978073572414077;0.13631526852612375
16;0.35878756513732973;0.15571318104930873
15;0.34335837821118564;0.13551161431411482
14;0.32571258233305733;0.15329103525065538
13;0.3146363054562955;0.14123010586949675
12;0.3238152046214344;0.15277908541043211
11;0.32172874759126485;0.147571001906407
10;0.2953013530047538;0.14585179099885492
9;0.36517717245147274;0.1515243132198265
8;0.2966137160489936;0.15164586277106673
7;0.28705197922127507;0.13749030670660045
6;0.23083180898237787;0.166369552152687
5;0.2828601365196757;0.17225732172381641
4;0.36444950702868484;0.17875119922328012
3;0.1991155267747555;0.13940997556892348
2;0.32396708713138256;0.16321552463766867
1;-0.09760644264392655;0.20876284685809887
0;-0.026372568395153714;0.20958710288731855
