;mean;std
31;0.23221005966840133;0.21375720605077886
30;0.3924413897267865;0.14445503534795112
29;0.28362717141324967;0.14494519513345963
28;0.21765875171718;0.18148522553983523
27;0.33841056131498837;0.18434154920089682
26;0.3462852736779548;0.1661915174744182
25;0.29545337705819735;0.20767808245554614
24;0.33469491740805535;0.14544318834859274
23;0.45778134290918887;0.14543665071878423
22;0.34427216958471607;0.14854551927584458
21;0.3854114537513554;0.15599282178261098
20;0.3392734841994313;0.14888465518659574
19;0.3940207857353539;0.15385601221207462
18;0.42033063618438854;0.143139590224907
17;0.39198644475834854;0.12869508986537037
16;0.3856589014244881;0.16505167373016275
15;0.3680032781416934;0.14065908920783177
14;0.34921113074779775;0.16020853787197042
13;0.3347123829737239;0.15169377041974585
12;0.33954739171648723;0.16906971780510432
11;0.33820133520850804;0.15974189169247296
10;0.31759339727885133;0.14743857316440392
9;0.3888077446728845;0.15254338217869767
8;0.318569154543032;0.15448890533772994
7;0.30776662773289526;0.1384767808832462
6;0.25869296450300744;0.148399698924422
5;0.3127817152077134;0.14382261708100152
4;0.39805030265847896;0.14769594999621258
3;0.22908717506881568;0.12217300842908725
2;0.3604258987983346;0.14241997114781793
1;-0.08614326765659176;0.20197628786479832
0;-0.016272419741365608;0.19233614293256093
