;mean;std
31;0.3660643754701182;0.19080907407555936
30;0.26954740146868605;0.1990272933595438
29;0.2360969926456146;0.19373694636186886
28;0.3037978475213935;0.17772224950638446
27;0.29984807265392976;0.20005326561937115
26;0.3607748643477412;0.16372414525173193
25;0.347062320427071;0.18249356348942347
24;0.3410218880322124;0.1955814167981835
23;0.29871880083533686;0.20639410364917946
22;0.29964847866911065;0.19437889946093578
21;0.2750551946289342;0.21084317207015357
20;0.3226003780103928;0.19558390813457802
19;0.3579294138119768;0.20323732543373324
18;0.31795855349109886;0.20290301994540114
17;0.36301513081564085;0.17896113782382614
16;0.359756036462215;0.20375396748355348
15;0.32710500631932415;0.19544953370803936
14;0.31080356601511017;0.207123223566459
13;0.267928376494913;0.21761353714491974
12;0.31786832282433064;0.20129908009125858
11;0.234191070415869;0.21405378048980925
10;0.3047040413010326;0.19774442681747442
9;0.3078016596272627;0.19468027030249366
8;0.32824862107591307;0.1867942800615601
7;0.3272953098856059;0.19397141779963778
6;0.2898073254553242;0.19162690065126115
5;0.25024942190645655;0.23084042634630553
4;0.34982745535297805;0.19402356965838918
3;0.38905435138563826;0.19695693340031875
2;0.23199893290703028;0.2209364177864378
1;0.27599967348357113;0.23788528171699866
0;-0.25013317214598024;0.25222282933759993
