;mean;std
31;0.3411123370674355;0.18231303500873844
30;0.24303828409742162;0.18495565362468855
29;0.21082837952276584;0.15702901201696706
28;0.28874776877358405;0.1496431598458216
27;0.2857384039194983;0.171904342888995
26;0.35232164151351064;0.13968799806202759
25;0.33377754797626313;0.16796086985752798
24;0.3329404613699373;0.17169414482449985
23;0.2854610082761858;0.1971951723837343
22;0.2888923031123046;0.16507368666673886
21;0.25135967713031976;0.1986624303265691
20;0.31403962217157366;0.17090876014504422
19;0.33177114291463694;0.1990013210854064
18;0.29473603300133766;0.19799641665237064
17;0.36863127826618114;0.15112265404950062
16;0.3426510602666184;0.19264850336452655
15;0.3100925857324826;0.1736360940261187
14;0.2908724345580306;0.19957679478408746
13;0.2500424880931217;0.21707325616572704
12;0.2926686952586429;0.18085860222277358
11;0.2213369362116827;0.19302253286696758
10;0.29483306194752185;0.18005343618499886
9;0.30403719345728486;0.16109598962482283
8;0.3250229762291124;0.15822913280063236
7;0.3302182224978234;0.1530708497197582
6;0.2953898473208543;0.15015554805097836
5;0.24545257703084206;0.20126528206208394
4;0.34723592232757805;0.1569083173137384
3;0.38266958252855854;0.14657629472385672
2;0.21945832159218923;0.18235213954105703
1;0.25036948992669905;0.20554176664687357
0;-0.2692751115766933;0.18242403576545727
