;mean;std
31;0.294524144694623;0.20829872726379867
30;0.2433650287316371;0.20235614692812162
29;0.18183078608744152;0.2020449042516987
28;0.26970921031236844;0.19410448639844466
27;0.25861434297020963;0.19361588266426136
26;0.31198140597413104;0.18144010119911505
25;0.317072524829135;0.1973116222449391
24;0.3021872380480281;0.21583330520187569
23;0.24229320096882592;0.23263215598088402
22;0.28534020145219147;0.20627142080153527
21;0.25810336924964866;0.20406208768488937
20;0.3118773677815139;0.18811231162421935
19;0.3319685058229593;0.20785670079015478
18;0.2848389585002952;0.20612186109639036
17;0.32948158641112485;0.20488748638828738
16;0.34410045013605595;0.2016931980436126
15;0.3139017021545571;0.20549022141340595
14;0.2978856910110503;0.19375853720652422
13;0.26457867223426457;0.20788501269334875
12;0.31873813585038807;0.1976602998713554
11;0.22671735044464447;0.2098807546803008
10;0.29626816039740467;0.20071205493183866
9;0.28019291125674817;0.21353818005613076
8;0.29825223587529753;0.21909754949940893
7;0.30617329779800073;0.2054154907950748
6;0.2779476620875811;0.21367110553328755
5;0.23295488475123458;0.23920440996142772
4;0.34091474494099344;0.20927198339009542
3;0.3683934426293412;0.21348680107846332
2;0.23302240482152495;0.23242530163690855
1;0.22567338249852734;0.23710874813370847
0;-0.23457816621389002;0.2467412159065593
