;mean;std
31;0.35940344213497905;0.1941536141832356
30;0.2890330536491314;0.20919212256033254
29;0.24244923035240248;0.20498123020679881
28;0.3099944956391616;0.20770872746598337
27;0.318874182429942;0.18569219257012318
26;0.3716611981132135;0.16955628612076737
25;0.3698974772786798;0.1740826969468296
24;0.36020805842197845;0.20510651943110383
23;0.2520436482018775;0.2887060278972502
22;0.3409114257468434;0.18464511591928492
21;0.3195348475152945;0.19417113427787058
20;0.36322642494553875;0.17261119969681993
19;0.41032686839493937;0.16073305646243824
18;0.34769449955543574;0.17556893324297002
17;0.3748908038253558;0.1666568801856461
16;0.41363110131644915;0.16017054222783958
15;0.3733223787456708;0.19049925222978223
14;0.35494044037899175;0.176729028990979
13;0.3182686701701413;0.191000769642677
12;0.365679977647878;0.18983124341538687
11;0.26378275248241506;0.21370625816673758
10;0.33453406379049516;0.18277915895013463
9;0.3186178745377286;0.19779889524864266
8;0.3481360190070905;0.1830355808882713
7;0.3390965840557481;0.2002802608033705
6;0.3091508797583706;0.20416225462991056
5;0.27131024395185693;0.22417446129178875
4;0.38783540864838933;0.18674326867854
3;0.4371341207849135;0.2009998958326778
2;0.2930818354468253;0.22243556336506448
1;0.30582555813624485;0.23553982543690968
0;-0.19924138819267195;0.2933464767441724
