;mean;std
31;0.17499688924227239;0.2604976537987653
30;0.08688140509908229;0.23254107746015745
29;0.17244193442320327;0.24478408331298543
28;0.08980216258477149;0.23773840966888063
27;0.19908257731197088;0.22567019098179472
26;0.19849970237175957;0.22447675869559958
25;0.21647235479077212;0.22413130291476216
24;0.2098349270730895;0.22847009896625187
23;0.21586609385454472;0.27950322012190426
22;0.2869314493681087;0.2648676298952946
21;0.24385176167069908;0.26031415790296053
20;0.25921496461044485;0.2452850330518516
19;0.22178149825003607;0.25028518101814307
18;0.23339053278997998;0.2573860358003714
17;0.2526620092081796;0.24944377270659054
16;0.23578330122329863;0.2458778630306977
15;0.19981446561922658;0.22432927822813314
14;0.22031860192957214;0.25007093284215287
13;0.22686807415907775;0.24382010254745132
12;0.18550337899838212;0.2591127299602955
11;0.21938603816740754;0.24299288748810008
10;0.20853584838576986;0.23484882565304427
9;0.21431172232078063;0.2705845346174791
8;0.2404186567960736;0.24479819123326318
7;0.2760551939439792;0.24179596795896638
6;0.19345899814417664;0.23275978753732182
5;0.31494524256510764;0.2321414812250717
4;0.18660144231398818;0.24246320226161697
3;0.38822722615498495;0.20546339169173622
2;0.23168663360167988;0.23079291790258433
1;0.3999482828459467;0.2314643936720947
0;0.12936202853481618;0.22690148638585114
