;mean;std
31;0.24764769005592613;0.24289611643457804
30;0.1433798032855198;0.24157821013097017
29;0.2422557885304805;0.23372290466346524
28;0.1498818933085082;0.23793936615038977
27;0.2784836978980583;0.1921989758879766
26;0.26053771695026057;0.1508455947493697
25;0.2892113514676837;0.205353544343347
24;0.28901083362884783;0.20879966334716898
23;0.30989263332913086;0.24584598688695816
22;0.3730423690348165;0.22402750898303997
21;0.32421248820562704;0.2391357214964252
20;0.3312276314970907;0.20971459986960278
19;0.3004549692601258;0.2314009525811613
18;0.31088660967654647;0.2238030050210318
17;0.32559443220050877;0.23370596360623286
16;0.3120050053503384;0.2148831567447258
15;0.2687842996699915;0.2055337683672609
14;0.2940033363465533;0.2215299865170077
13;0.30320339554407133;0.21245984447171828
12;0.2568019300127726;0.23409760648175076
11;0.2890729248474702;0.2187228820459165
10;0.2830855754224518;0.21247222159307624
9;0.28626847527497146;0.1885725237439915
8;0.31613704310410917;0.20843984512847424
7;0.3460518973064364;0.17643357715672392
6;0.269611322721539;0.20754918337470712
5;0.3964205877408042;0.18911333080710507
4;0.2657065494305075;0.2101906720209644
3;0.4651482172677559;0.17270920753910848
2;0.3064719438134844;0.20546293467836407
1;0.48337552651469845;0.17670256431334033
0;0.1907544498896246;0.22882983129325885
