;mean;std
31;0.2219660257991485;0.27443553215854216
30;0.13724118156088128;0.25080171695838877
29;0.19178376412109707;0.283662657395809
28;0.11619586520253822;0.2640248714937022
27;0.23018952553012614;0.23521579665103767
26;0.20009420098626288;0.2776317916752483
25;0.1833588765077074;0.31106273057001077
24;0.21583649316221773;0.28791849079443127
23;0.19968889076800223;0.34831913675375265
22;0.29135221929382993;0.32984941915759197
21;0.23952686386209365;0.31316264949508643
20;0.2462684888914786;0.30860151191648433
19;0.20619513570931605;0.31085762816588586
18;0.22841901987983507;0.32047981919332547
17;0.24600495829852193;0.3089446752379134
16;0.21649209106326742;0.32021646012277355
15;0.18398997072352263;0.3021005901888263
14;0.20393163567943268;0.31787581453795705
13;0.19678688691019772;0.3265322968043003
12;0.15500356566940643;0.32281461176327747
11;0.18809015308776958;0.32050116414741747
10;0.17521879260005763;0.31914424928627994
9;0.20494318619697952;0.3062493734377385
8;0.21914555243842251;0.3215072071669872
7;0.2963641098868205;0.2510696392085423
6;0.2087522082122995;0.26048435479988474
5;0.3388022306078207;0.23633327067931245
4;0.16143967979147758;0.32123890453372356
3;0.40753139558877305;0.22725092131452554
2;0.273819970958601;0.2447569921489028
1;0.43209148165807953;0.2168930046819923
0;0.16074062357199034;0.23475662248562335
