;mean;std
31;0.13126700348242212;0.23864436196923697
30;0.039994716669131555;0.20321992860255278
29;0.15443402401481934;0.20029556935305723
28;0.0652287153199542;0.20733344598888262
27;0.17012093586748153;0.2123471770888855
26;0.19701516917894607;0.1598008433850383
25;0.2300607656060393;0.19758390413351143
24;0.18700588278321156;0.23698165952297118
23;0.2198438839203405;0.24703859109851295
22;0.26680570791017133;0.2598558977087952
21;0.2441838093841297;0.21982695662981824
20;0.26018483609263526;0.22739226073637786
19;0.22890377667464734;0.2172385489599705
18;0.22693543889844012;0.236677314601221
17;0.25147079059697414;0.2194882854054272
16;0.2377342308796824;0.23035081293241172
15;0.19730623672901992;0.21146819530699268
14;0.22202863454669708;0.2327437793260443
13;0.23763331745975916;0.21966643372376984
12;0.20774212145737916;0.21157895517860964
11;0.237439842502637;0.20152532977456175
10;0.22231379687591576;0.20857893467553798
9;0.22303415250500933;0.23217301936335516
8;0.2442147982916207;0.22656187771731695
7;0.25714689289374765;0.23123214403406964
6;0.17922049221868294;0.20254568096305625
5;0.29273356404258166;0.2259161088386952
4;0.19401805865268026;0.2176278572526116
3;0.3702543787511132;0.18101836017269682
2;0.19245904364868435;0.20950211694435497
1;0.370021856365685;0.24041811222626552
0;0.10014747453468849;0.21526214506278207
