;mean;std
31;0.1596697499735452;0.22945413337190826
30;0.0526897592011003;0.19831520636143338
29;0.16898232160799817;0.19782865720784498
28;0.083190128308441;0.2012139205572386
27;0.19638803939849825;0.19245134481253762
26;0.20777609119700968;0.16041271652345576
25;0.244815864177453;0.1949161129675547
24;0.21387198200666513;0.22970368347364892
23;0.24522975153678978;0.23896443616400548
22;0.2917211900148276;0.2429657670924779
21;0.2631747176752544;0.2238542566581921
20;0.2785257370239021;0.21981739849302898
19;0.24777928854060022;0.21744973304246804
18;0.24522307673476085;0.23979557023899192
17;0.2618812530855242;0.23402556689287052
16;0.2526104745126758;0.23115163578242626
15;0.21077241903299673;0.2061419610275843
14;0.240747147047675;0.22659023570021217
13;0.25697094281448707;0.21153602888802273
12;0.22077134992086275;0.22531868217856246
11;0.25538381419914497;0.20166619376771017
10;0.24034517563866611;0.19473721597430182
9;0.24205666030453835;0.20920471530830673
8;0.2624492080092715;0.20967565438145855
7;0.27506238282606693;0.21069814294930003
6;0.19404098013366003;0.19227502933056154
5;0.3123801337334475;0.19395792716411375
4;0.21703333304828584;0.18618509112076828
3;0.39115377209746804;0.15553199316832084
2;0.21536315809033207;0.18693368141077274
1;0.3953790566037586;0.2118631051204935
0;0.11828058855655973;0.19208463950977311
