;mean;std
31;0.29791700724444636;0.1962262182200303
30;0.2623760942272228;0.17594558927988047
29;0.2785525449142291;0.21626157270528165
28;0.23059586340809554;0.20788265975599118
27;0.305484086028639;0.20475119750109672
26;0.3629567513882414;0.16420893400754735
25;0.37833129899665346;0.167329216031265
24;0.3048000142439951;0.19647819519882354
23;0.34903439757650184;0.22402255154139658
22;0.3726454091498132;0.2132201977734343
21;0.3416793793232889;0.20428840343333787
20;0.3881303956371906;0.17189373765649066
19;0.30398238737942845;0.2102541411052918
18;0.305211126157037;0.21372550239187288
17;0.3328519360714172;0.20103905863644658
16;0.30420213411161434;0.2127714945974724
15;0.26565076949197125;0.20403895656345972
14;0.28906822415567135;0.21742419727101128
13;0.29788226643910526;0.22480291512518288
12;0.25525152722866856;0.2147475812602799
11;0.2959869502618865;0.21594724405106214
10;0.27134526409841514;0.21672691070120054
9;0.2745170625594354;0.21334540287203452
8;0.29195471961029856;0.22741731538862064
7;0.2953743535613845;0.2218206470260305
6;0.2199116505409941;0.22744771237702144
5;0.3346518008690809;0.22860026283219503
4;0.2509908102162442;0.24044859305021563
3;0.39171929633928443;0.21080553009151254
2;0.23456955016262726;0.2398659036082967
1;0.36619608044628116;0.22849757781327495
0;0.08663445841865292;0.23233579195861503
