;mean;std
31;0.3333583118176444;0.2365917820551322
30;0.29662150848545143;0.20920906957646712
29;0.3161105688445396;0.23321308607523653
28;0.2488376374515356;0.2279639563406082
27;0.3437152183430389;0.20843631676471785
26;0.4003659563422393;0.18441214216121313
25;0.4047602623798774;0.2056048041923091
24;0.3634251280128865;0.19928087981436296
23;0.39448025431239625;0.22008596191013968
22;0.434809995611581;0.22490613174772764
21;0.38471007018222275;0.201399288004931
20;0.42135657117595754;0.17396636472440521
19;0.3478182129355885;0.2059283647560293
18;0.36102521709554297;0.22206438169338422
17;0.3861049053236209;0.20023294960126828
16;0.3460368963443854;0.2193634760273715
15;0.3139896266947866;0.21847530446637303
14;0.3414601993479956;0.22313686831008867
13;0.32909734925217304;0.21918335727291616
12;0.29305605348622993;0.2294012536139894
11;0.33374455706763445;0.2294302409977995
10;0.3091868615418801;0.2305375092177942
9;0.30725529033122145;0.22591258334675732
8;0.331547231449775;0.23523844053726403
7;0.33922264629625143;0.22209798506458628
6;0.24215837724769992;0.25042723874245804
5;0.3761753911139457;0.23749260475237882
4;0.2887485427511424;0.2681879619586247
3;0.4362195713498193;0.2203807782901597
2;0.2766615812228354;0.2607776311401565
1;0.4237909659887909;0.24373797790485044
0;0.13261970926284883;0.2767892259915247
