;mean;std
31;0.2749094935311961;0.16415222837321122
30;0.23911133515609678;0.1477134954388411
29;0.2611836303418797;0.19610554496634217
28;0.21704358735067936;0.20260059611078748
27;0.28819447843654683;0.19857136777025466
26;0.3463792386941355;0.15129312092575192
25;0.37012613108766557;0.13096658560951624
24;0.2701925740679828;0.19936780471732696
23;0.3316397093632536;0.2232229243684973
22;0.332113860362711;0.20598841109802493
21;0.3192243464433518;0.20823656226941914
20;0.3774424535054824;0.1671758333937838
19;0.2831048314882994;0.21547775022510604
18;0.275938821737551;0.21019206351084457
17;0.3061346160208994;0.20816853327874038
16;0.28521038154686684;0.2071116333824366
15;0.23604270838301672;0.19177055963940534
14;0.2619537715246223;0.21717593056801274
13;0.29243996017372076;0.23248020938084857
12;0.23381739647543517;0.20526958038060733
11;0.27909946785151407;0.20499927741298585
10;0.2557171628921227;0.2080509313400435
9;0.26276449150603043;0.20057340272198804
8;0.27915048671707554;0.21026321916396426
7;0.27828760112328;0.21187886729379532
6;0.2120217070363947;0.20558622501497287
5;0.3175734641072003;0.22005010294038857
4;0.23686719395312225;0.21503618944349323
3;0.37752839237915425;0.19790146703708994
2;0.20432180601344638;0.22172169062963998
1;0.33112648785252063;0.22609745602453857
0;0.0552753887938185;0.21314534914250827
