;mean;std
31;0.2895420297821072;0.16478320187371784
30;0.2450124462658794;0.15359967847473982
29;0.2731079303387091;0.20831120215339088
28;0.22598574882468833;0.1982982020950648
27;0.31472965991975327;0.16351269148767467
26;0.3554595415844383;0.16016994185210975
25;0.3810721386675937;0.14652922553015954
24;0.2861941316031958;0.20508080261239708
23;0.35522454925918207;0.20826390766616354
22;0.3561209194295953;0.18919661596996787
21;0.3355031803024307;0.20437415794965336
20;0.38701679091297153;0.16676299345108456
19;0.2979000069704095;0.21469072766718497
18;0.28764905375497934;0.21110734117938976
17;0.3116541890347397;0.22025593401536653
16;0.2980022262758442;0.2070875308427192
15;0.2465064692022948;0.19093213007661358
14;0.2758522632265986;0.210972257738459
13;0.3034684689116396;0.22521671287490136
12;0.24179303358917173;0.21434110768402265
11;0.2895037682995062;0.2107839743042491
10;0.26953665589089815;0.20143325835015055
9;0.27944910033701786;0.20189841367239544
8;0.2981773015694229;0.19954159965927973
7;0.2955591660542792;0.19037531607859565
6;0.2210989447169927;0.19887641049098415
5;0.33884119240018057;0.1981905843981353
4;0.2595049088805111;0.18120564477886275
3;0.40913558582922155;0.15359081694863214
2;0.22553535617855675;0.19990305059129465
1;0.3546930826355917;0.2030055444887866
0;0.07442812749679634;0.19084741027326615
