;mean;std
31;0.3549022409119634;0.17208081297170846
30;0.2956388052689668;0.12632188462486835
29;0.34390297309283513;0.1943060044336563
28;0.29476260150043043;0.2078491048790967
27;0.3920723898417586;0.1739644756616058
26;0.4203518739188537;0.17904770033681464
25;0.440038878010271;0.1687070594904661
24;0.36955425961283345;0.18010171854291443
23;0.44815018961054787;0.15120768157033324
22;0.44234398458635693;0.16681674976514055
21;0.421409121311876;0.1585644787366679
20;0.4509613336779217;0.175938336249584
19;0.3831469238603662;0.18145009323607467
18;0.36607274090219605;0.181513001536329
17;0.40079629699345726;0.1717322490206108
16;0.37973385263062115;0.16921411108945467
15;0.30287695259349334;0.1283773778601368
14;0.35287545612185706;0.18251549837193065
13;0.38882009502950915;0.19199951063280885
12;0.32518143598825267;0.18500303853455788
11;0.3665355120383062;0.1772863375999861
10;0.3549854073934314;0.17664862015522823
9;0.3547366417493643;0.17880013600241149
8;0.37977035499464645;0.17635078993629813
7;0.3779932517531936;0.16757973661888978
6;0.308706818828676;0.18919856388529002
5;0.4288779252674713;0.17030437887661606
4;0.3441976365514049;0.18081542313697704
3;0.49215812462499514;0.145368417010697
2;0.3161611373400366;0.18546456167617154
1;0.4427664230906789;0.16477805951006794
0;0.13282482680510194;0.2221025599397791
