;mean;std
11;0.28925329910051595;0.1938476783342891
10;0.4747132337938518;0.16856561959966293
9;0.5067443965648569;0.16347291076505846
8;0.35541113248931716;0.1774231527583238
7;0.24744504070817536;0.18663726201517508
6;0.34004043904831277;0.1743151567738357
5;0.373756300559028;0.1876069480271166
4;0.4602996037894309;0.1591842142126572
3;0.360842978457422;0.18974181565357012
2;0.2677465506963606;0.19799057431834385
1;0.057639410654240796;0.2212937779434296
0;0.6701119037068963;0.10508022711257482
