;mean;std
11;0.309166447714865;0.19562714549386276
10;0.4837912388323335;0.1944060361222889
9;0.5116988060493564;0.17901509423337275
8;0.33285177561994816;0.20619220926365825
7;0.2333256176381601;0.20156679033465436
6;0.29022622597945397;0.21558803614999336
5;0.35019976694599725;0.2104048130460475
4;0.4324430411722652;0.19266693994657505
3;0.3429454613632164;0.20899599560436688
2;0.2771872236422977;0.2233441640258152
1;0.06848868557671407;0.23980481945713655
0;0.6696150704805299;0.13291872983669387
