;mean;std
11;0.3050246241343827;0.19582883881886537
10;0.4866990731035902;0.19401483437223987
9;0.5127484642849389;0.17849584997395224
8;0.3554545153802696;0.19454273735035693
7;0.23039256274017017;0.20566714046268755
6;0.2905811009948087;0.2089524195055673
5;0.34585868516930834;0.22126067513418896
4;0.4372166974536615;0.19942467958790855
3;0.3508838370910058;0.1988188889886032
2;0.26785216913040744;0.22503683411447828
1;0.0744703657650663;0.25157077673395245
0;0.6754569435260808;0.1289807761811633
