;mean;std
11;0.2368797913999161;0.19771070483081685
10;0.38481645766290073;0.1924873174283423
9;0.42742171538436174;0.19071530790776295
8;0.2840922077565158;0.20395163911564998
7;0.22086424732420568;0.17989641454852856
6;0.307828706263575;0.16626073760781893
5;0.3402685376025706;0.15307615948463948
4;0.4154928472397877;0.15101886394186684
3;0.3173715257601977;0.2100698168789376
2;0.2742051834073723;0.22905420581788763
1;0.019455106341865945;0.2085451033479967
0;0.5926882398932247;0.1508765113871893
