;mean;std
11;0.27456965165519176;0.19081656842795047
10;0.4635540040916817;0.13987519687036015
9;0.5011544024806427;0.1479037109056337
8;0.3553707415218787;0.15984441138830086
7;0.26332148571286984;0.1654086777184022
6;0.3808297830979595;0.13267456177111353
5;0.39972994247359445;0.1448660579571867
4;0.47403316537345624;0.13471923201196398
3;0.37011528248822334;0.18038814748750992
2;0.26764821629224805;0.16896151656554811
1;0.036279061174916534;0.19865704409792323
0;0.6651354873235178;0.0760401850151631
