;mean;std
23;0.2407382193343049;0.17088561778109382
22;0.10989198093121247;0.244660839423943
21;0.21267307358961404;0.1940647012301787
20;0.3483348484845984;0.18299478154971136
19;0.31004974656645945;0.18678656570383118
18;0.3418918721737739;0.19019544650803694
17;0.27707196714653837;0.19385823436873373
16;0.3032929876201657;0.2092509160737883
15;0.16441547619432637;0.1901562251298802
14;0.3070445486058259;0.19734328052371208
13;0.49617804148510863;0.17375118904119416
12;0.26372939924655137;0.1798389320639177
11;0.1221098094407048;0.22280053781815803
10;-0.09434222785035454;0.23790890590165684
9;-0.07461924438472825;0.23171746472415647
8;-0.024636880075436737;0.22642966832971537
7;0.06641450988465207;0.20513225800552953
6;-0.054772358969189854;0.22834618318103517
5;-0.058857395108564615;0.2202978159646583
4;-0.1640260697840903;0.239010971709906
3;-0.21012310652843055;0.24158648382471493
2;-0.218962080491171;0.2415186741421548
1;0.056933253752609776;0.2060184501816592
0;0.6694082571664138;0.10692119169834956
