;mean;std
23;0.23762340659081568;0.16994314920426545
22;0.09500836776674138;0.24302611748286235
21;0.20490224369370655;0.1934798036266979
20;0.34480384100537936;0.17267115786385195
19;0.3161029200322381;0.18263296237712082
18;0.34434303923022774;0.18256510828937253
17;0.3010389686557468;0.20184782891643563
16;0.3259407455251016;0.18787455401455178
15;0.1813970720582319;0.18850158630430022
14;0.3224450492516696;0.18695700631682297
13;0.5068385099913215;0.15673100552613542
12;0.2661652182041551;0.18018621964975595
11;0.13897579271357602;0.2175327152163804
10;-0.08375525771472211;0.24464736780110372
9;-0.0714738129333836;0.24044737888777057
8;-0.017748522297339926;0.23383272227367066
7;0.069508230702378;0.20647123332550427
6;-0.04629708598706657;0.26741891902414017
5;-0.05904392173429735;0.23064931990114257
4;-0.17844065043205434;0.24156985455383173
3;-0.2431766983021957;0.230722486529855
2;-0.2336028019679269;0.2444510615948941
1;0.03169946078288545;0.21305441911490128
0;0.675823427629631;0.10609164864754803
