;mean;std
23;0.24734338277115067;0.18883269722324983
22;0.11213407221115651;0.25078635952597234
21;0.2043595705539036;0.20105275759944147
20;0.3459264501031812;0.19559499241462502
19;0.3102827051826689;0.17443985634702583
18;0.3345883648204604;0.1805159860440514
17;0.27716532355767726;0.19171684669094793
16;0.29906849949163505;0.21284037340531275
15;0.1551409381780582;0.20803838160559712
14;0.3042858906191724;0.21309687468935007
13;0.48325987673258264;0.17681496955833925
12;0.2453799411677989;0.1962351318466106
11;0.09673698506170515;0.2320540475558879
10;-0.08971332778331256;0.2775388134641388
9;-0.08249023827775154;0.26585317050872365
8;-0.022521553896007934;0.2551249884186931
7;0.09462710580772987;0.25530195327284105
6;-0.030000269989855187;0.2729629018879063
5;-0.03504817354651287;0.25819080520508697
4;-0.16641633254197824;0.27634916089170597
3;-0.20654886277029796;0.2906735989427161
2;-0.20807500505593807;0.293254628813723
1;0.1097197455110396;0.2412682942143743
0;0.6832317013809063;0.11895872345514888
