;mean;std
23;0.24042846192670386;0.13040393666721298
22;0.09680722313849122;0.2219329198812458
21;0.2154455222302321;0.1674135040974572
20;0.35317434206455534;0.15998670163715556
19;0.32384492609506677;0.19062143895198402
18;0.36385029015018355;0.18441851883046734
17;0.3258790231361838;0.20580882374521783
16;0.34921466070087936;0.1678031906678193
15;0.20396276660281892;0.16776847097882924
14;0.3388889890951546;0.15950916207793855
13;0.5229519937151322;0.14546652312271757
12;0.2848365735333946;0.15975720919769082
11;0.1768267133454572;0.19820951596013764
10;-0.07313440508239376;0.2146736900228058
9;-0.053421267742639424;0.2158771302856401
8;-0.012368737690782464;0.21219780301436017
7;0.048511263284404825;0.1453682067101923
6;-0.0552375475883268;0.25798555495826647
5;-0.0669221505611982;0.19219590675437387
4;-0.1813181357358931;0.20263336978773672
3;-0.2701904486722968;0.14580141276086475
2;-0.24542447523785335;0.1810720877072272
1;-0.0317256768974876;0.1449695986179867
0;0.6676126663183299;0.08595528705751826
