;mean;std
39;0.24251823254126428;0.21066709197420463
38;0.27511039716423563;0.21916151744483003
37;0.2985464235871623;0.2045341632870108
36;0.29545772950888566;0.21537504278108446
35;0.23986436840009645;0.2308370544616486
34;0.24774041657562554;0.22906939750831837
33;0.24864903674266767;0.20938612042679308
32;0.2595619028529493;0.21129501862027647
31;0.281648173900218;0.23324739375108713
30;0.22326142848590094;0.21833664101994488
29;0.17969915442093543;0.23529613140144273
28;0.18198436892030184;0.23325980678879107
27;0.20760720024232882;0.2165008812933668
26;0.2303758201905984;0.24243941649113174
25;0.26831985527157076;0.2374453578557302
24;0.23121243722717605;0.22258919769324778
23;0.1758337148500142;0.24662064915932758
22;0.19414205988569286;0.22125416568925996
21;0.23825002428110587;0.24146294683592817
20;0.2111993501303775;0.2041010206905092
19;0.1826290459361719;0.2082299797872957
18;0.2337367419755361;0.24346112655253044
17;0.23445075811585672;0.2329912763201734
16;0.23828976272626967;0.22683346140948138
15;0.24556929264307623;0.22500888532728916
14;0.22999437128356984;0.2170208129719868
13;0.2654100688757083;0.209418803439439
12;0.2393373854925907;0.19639402832920494
11;0.25127517885025386;0.20209970633844232
10;0.26794815595119276;0.21325538698781477
9;0.25484075166789016;0.22914572744641926
8;0.25358565831277047;0.2244555038454347
7;0.26242884120677706;0.23188537649509694
6;0.26792212113854363;0.21868266961096186
5;0.25387253701086043;0.23646981348496723
4;0.24526565122252192;0.22749285810115008
3;0.20864271252336902;0.22831363466794324
2;0.16884857463525743;0.22543722130157073
1;0.2387392187216753;0.20739200907131644
0;0.32691229592103127;0.17976502090916907
