;mean;std
39;0.3081900455985185;0.22522729941215236
38;0.33586941861717595;0.2595336725028135
37;0.3532009578705847;0.24280952955604135
36;0.34136308050512376;0.25312421038251137
35;0.29300581336234344;0.26707713026461594
34;0.29391658378499286;0.2674694814569778
33;0.3145208321496933;0.251273061792737
32;0.2979576659758145;0.25552367621196176
31;0.29888567428628465;0.2517047387233876
30;0.27489699134385065;0.2555644719752478
29;0.23983884743515574;0.2795868663271792
28;0.2187018018442323;0.27862829669180317
27;0.2375212440569918;0.26172396668349995
26;0.2619931534788267;0.2744330941217921
25;0.3169844514756598;0.2602855238856556
24;0.26140186282854;0.27462347352411887
23;0.2011209917615093;0.2796479822096037
22;0.2230175717203444;0.28572891437859543
21;0.27259114703839765;0.2766731196807392
20;0.21758168481297624;0.2262202007768264
19;0.192119507648845;0.23380832084195627
18;0.280977100101728;0.27946296022292005
17;0.27164412448107816;0.2559525219339436
16;0.2702632190383919;0.2587884195323945
15;0.29591856417053874;0.2619595903415525
14;0.26417732777332953;0.24369643285487533
13;0.3074216851551152;0.24047093150411417
12;0.2552875648166389;0.224327959723841
11;0.27533112759935796;0.21482199821152853
10;0.3101850525767704;0.24069644047828706
9;0.30627163422945397;0.2647320002392147
8;0.29058850470114317;0.243189287181418
7;0.3012051809596945;0.25743934904793353
6;0.3170428870897524;0.2358581405579783
5;0.30499840132081;0.26028569722004635
4;0.2981262710112515;0.25978699618069484
3;0.263367816045898;0.2611061588253678
2;0.2254651567162073;0.25703371112841394
1;0.3126074749233403;0.23120336051898066
0;0.40636514831563453;0.18800253470026168
