;mean;std
39;0.21178740260169854;0.20549842304908297
38;0.23699491457836566;0.18119075942030996
37;0.2516747859599537;0.17183590874989157
36;0.2621713529085515;0.18110429477843368
35;0.21051154864732258;0.19329483631372135
34;0.21741224266325382;0.19149764086440382
33;0.20727951369703768;0.1756895739359497
32;0.23943653552924943;0.1783770548058881
31;0.27549836272471473;0.21645559722117644
30;0.18210567600090766;0.1877364028818502
29;0.15566205362871327;0.19503230104559624
28;0.1572773608292169;0.20484049027982937
27;0.19385082989116467;0.1846872374269263
26;0.2241273840410138;0.21519652451855173
25;0.24597500355160873;0.22707485960343002
24;0.21736690323791713;0.17974133808666656
23;0.1619574021199188;0.21908890521799484
22;0.17711729813406354;0.1649624149948971
21;0.21752984974041467;0.22397565472139253
20;0.21392584615156088;0.19188170684805814
19;0.18321667791922397;0.1827561689170467
18;0.20582069945278714;0.2162725599090917
17;0.2027705058944239;0.19891485103787507
16;0.20830197181354368;0.1903397653843911
15;0.2124601176559927;0.18250363005961465
14;0.20596171836515462;0.18431880585239907
13;0.23564263339172312;0.1715890325246604
12;0.22297227003941084;0.17310714374257324
11;0.2314732952662008;0.18860394962211585
10;0.23105149066537511;0.1891652265618783
9;0.2029489271584988;0.1924503254306384
8;0.21750437724589558;0.20655766111281665
7;0.22409862585526596;0.20443604979367383
6;0.22685830489657968;0.19933322020993782
5;0.21344530790250266;0.2131566913816985
4;0.19757076280433122;0.20094220046724898
3;0.18549722889215461;0.22481331782185454
2;0.12987159162380718;0.21874627289131232
1;0.19017283407882338;0.19027954437899408
0;0.2757111751541357;0.15125002635434828
