text;attention
The;0.011195888
image;0.011219865
features;0.0112059815
a;0.011219684
man;0.011226548
and;0.011186441
a;0.011237697
young;0.01119279
boy;0.011189255
sitting;0.011196742
at;0.011293942
a;0.011209789
table,;0.011191759
enjoying;0.0112768235
a;0.011195565
meal;0.011209115
together.;0.011301947
The;0.011235452
man;0.011251995
is;0.011197659
holding;0.011205603
a;0.011184451
doughnut,;0.011243997
while;0.011325007
the;0.01121383
boy;0.0111996895
is;0.011181842
holding;0.011225769
a;0.011185294
bagel.;0.011241664
They;0.011275029
are;0.011233523
both;0.011206416
sitting;0.011185917
at;0.011193276
the;0.011200392
table,;0.011193581
surrounded;0.011248675
by;0.011196911
various;0.011204197
food;0.011192255
items,;0.011310036
including;0.0112597775
a;0.011213422
plate;0.0112074325
of;0.011201697
doughnuts,;0.011377402
a;0.011255217
bagel,;0.011240613
and;0.011219635
a;0.011202926
cup;0.011191978
of;0.011186649
coffee.;0.0112624
There;0.01127931
are;0.01126051
also;0.011219751
a;0.011189052
few;0.0111998
other;0.011185787
doughnuts;0.011283175
scattered;0.01148415
around;0.011254649
the;0.011215638
table,;0.011234043
indicating;0.011235875
that;0.011198167
they;0.011214267
are;0.011218529
part;0.01122813
of;0.011194013
the;0.011199529
meal.;0.011263229
The;0.011205405
scene;0.01122469
is;0.011205281
warm;0.01125197
and;0.011199316
inviting,;0.011465052
showcasing;0.011344592
a;0.011195863
father;0.0112097515
and;0.011210985
son;0.011329579
enjoying;0.011384275
a;0.01120192
casual;0.011298118
meal;0.011268101
together.;0.011346036
