;mean;std
31;0.29427314895155515;0.2127443226289083
30;0.2310531292443024;0.2224388747046803
29;0.31094508922176195;0.20428978758401256
28;0.3075881417561798;0.22700031538146714
27;0.25761804017865375;0.23574326781675703
26;0.2890424973158929;0.22485924529760248
25;0.2255438986028253;0.22102930023977393
24;0.27178192564388415;0.23217704056168606
23;0.2321945632226475;0.23657602690367596
22;0.30381929029203547;0.2200802492240396
21;0.24383786136594396;0.24237261535284865
20;0.26158406302985976;0.22939238830051914
19;0.26019375081709517;0.22730297304798835
18;0.25321286436675694;0.22794957674599717
17;0.25573285645710286;0.24016160668450462
16;0.2625898909575202;0.2297771050557593
15;0.2656654589178843;0.23020766378634272
14;0.28125478951564525;0.22424639882278072
13;0.28891179107046294;0.21639684918947813
12;0.256410232290068;0.20541914076953963
11;0.29441803945330447;0.2073860920899127
10;0.2838491184436715;0.19892603716357338
9;0.27723281176841097;0.21333109596311065
8;0.27224365298773084;0.2084374090736062
7;0.2773865865867426;0.20252053082856564
6;0.31006258663493586;0.22307257572001768
5;0.27992856731344884;0.2290261446499657
4;0.26283311554746264;0.2469513094090241
3;0.3168219051913468;0.20826280608750286
2;0.25725943530223555;0.21559733255903138
1;0.2612753576969681;0.1920308631614478
0;0.3196779661286115;0.19409881701012255
