;mean;std
31;0.2979732478833665;0.24520942630524267
30;0.23783014988830956;0.25829972098895027
29;0.32048702036303306;0.2301048558133261
28;0.3243794500824632;0.2511953203688943
27;0.2717742752370533;0.2533015809057221
26;0.30505999904935166;0.2494671522381118
25;0.25468150368520254;0.26054850125372014
24;0.27613463920515297;0.2484150218596891
23;0.24477111680798178;0.258375628661344
22;0.29925014648697307;0.24676774714255623
21;0.2507151977493266;0.2656382768020223
20;0.272551424370025;0.24662252011133864
19;0.2613912716367128;0.2530636794524688
18;0.2632825949467746;0.2604252614099401
17;0.26205174509215134;0.25816314557878545
16;0.2705035449136887;0.25437407835659015
15;0.2759150863400213;0.24831148258128782
14;0.2942846710075344;0.23955149758041003
13;0.3073465542730777;0.245020529614059
12;0.2508364766271191;0.20342831551810955
11;0.3131662798652942;0.23417460826210865
10;0.3012708530687996;0.21353391386641452
9;0.29989048240957816;0.24365595494515516
8;0.270666257206646;0.19296123999385414
7;0.29308007767392064;0.21123531281233834
6;0.3385639205215237;0.23283373926194473
5;0.3128470680863336;0.2459209955259482
4;0.284232619016536;0.2451530807993278
3;0.32522181476634815;0.18961919435802796
2;0.255218541930905;0.22332948899620567
1;0.27900494753374044;0.1948974050575562
0;0.3369990336134719;0.18876536028150304
