;mean;std
31;0.33995950322745855;0.24399294673793295
30;0.26980779221645684;0.26301591691226206
29;0.3467617090301641;0.23048807353406775
28;0.3531128122380584;0.2505379832197472
27;0.30271010151050226;0.25766402032615515
26;0.3293815457244592;0.24826791023449388
25;0.27845704297005186;0.26404393552807054
24;0.3021062957258269;0.2518746183355926
23;0.26028320608344235;0.2582087039420355
22;0.32627209351902975;0.24308208742569587
21;0.267125690191572;0.2682773352621574
20;0.29316217184490617;0.24486236655857263
19;0.27957267668068964;0.24304313699668487
18;0.2825865880828638;0.24652808062051518
17;0.2803556966426152;0.25223697725605754
16;0.2879526696561538;0.24315341352006337
15;0.2942283391011014;0.24268045385439857
14;0.30669258872336325;0.22990774899978775
13;0.32544974212762484;0.24058780770769198
12;0.2710636162287792;0.20074959326044348
11;0.32651441810106746;0.22587447961455595
10;0.31185787781835017;0.19215956707889462
9;0.3084843288292949;0.228339096864862
8;0.28561628225630625;0.1933949597641039
7;0.3019387309621661;0.1951445073608987
6;0.3565361903546324;0.2295457207314809
5;0.3315023269085219;0.24260746112063447
4;0.31170363811940077;0.24973565196945158
3;0.35579634462490134;0.19919434676140818
2;0.2878129189295663;0.22371788379003177
1;0.3161919662307416;0.18824872114031319
0;0.37155619989672467;0.18721830040034074
