;mean;std
31;0.24868899249245185;0.1729587909513002
30;0.19497120164953796;0.1686386366352031
29;0.277459723715595;0.16995639918354594
28;0.2628463624336357;0.1964696002032149
27;0.21563577618003618;0.204571193650175
26;0.2470168439627756;0.19966701762097466
25;0.17573828386625515;0.15713773777367665
24;0.24354889142966152;0.20826867624549095
23;0.20516089820426636;0.21230860226246825
22;0.2808584165308771;0.19705087779883043
21;0.2202736536901421;0.2155976554823726
20;0.2303224876025161;0.21230196013952657
19;0.23590741123178585;0.21934002308151182
18;0.22206943019048445;0.21083435628550662
17;0.2290043737690222;0.23114103588119406
16;0.2352206245654606;0.21911365875790434
15;0.23562550249119243;0.21893768679396047
14;0.25068944184832087;0.22574957749019506
13;0.2513711320336432;0.19013981436388885
12;0.24276742655402653;0.2087505844470188
11;0.2559753976854465;0.19974543927613853
10;0.2577719976465569;0.20155627491939523
9;0.24107063322693773;0.20568881526717075
8;0.25979327401353985;0.22079928728240245
7;0.2545276935475551;0.20654708783506742
6;0.2576194168518531;0.22291502875165772
5;0.2283021579747944;0.2092097724697539
4;0.2114394954758832;0.24338173614035058
3;0.2805353581325202;0.2099586042737816
2;0.22881308847678966;0.20367236353535856
1;0.21014610147586862;0.1810880627792159
0;0.27137754158588545;0.18782543974309687
