;mean;std
11;0.1816609772809835;0.18820765142938212
10;0.3734522769819981;0.1771724073142276
9;0.2833979108468582;0.18505062059959107
8;0.26234659410080846;0.19485417404775549
7;0.28719553521338337;0.18963916737195632
6;0.3638135987424508;0.19679389292865598
5;0.37893136229255303;0.17318161189389875
4;0.37354047397810275;0.17586486025443418
3;0.3062514913141991;0.19826699563113537
2;0.45205509026939883;0.1563827127278972
1;0.45250286748176205;0.1753034377033005
0;0.5676188095054303;0.15805537049422735
