;mean;std
11;0.22973849602016194;0.206547933755322
10;0.4253960123505286;0.17840650121603596
9;0.3081591725737307;0.19362788593974134
8;0.2884860907303039;0.23033871889439195
7;0.313598528786725;0.2049418528129957
6;0.34778288566423615;0.22186382643373678
5;0.3862126937442583;0.18303067696099537
4;0.3592557661354565;0.1840689659475926
3;0.3166414777974398;0.2139630829064019
2;0.4592223194102144;0.17277986819194718
1;0.47431683908762745;0.16729100832715876
0;0.5941591618679033;0.1436532188118668
