;mean;std
11;0.1059841521777014;0.150639718579951
10;0.2836214278291887;0.16376061701119807
9;0.23733734581158508;0.16115448803837365
8;0.21270175311795123;0.13705984343038233
7;0.2420897670390117;0.1598902952366271
6;0.3459364513436396;0.1732075214595312
5;0.3386925107176476;0.1680780439196054
4;0.35192798986906443;0.18105520896280608
3;0.26161928891033864;0.18439040430012066
2;0.40732368904599325;0.13008873762480047
1;0.4024646552057622;0.1981426776813779
0;0.5001307913344009;0.17824087409376724
