;mean;std
23;-0.0005041366721432064;0.2111585543788787
22;0.04912389913638794;0.20355012222488483
21;0.1827360534709839;0.18323110580156443
20;0.26969433365462997;0.1665063298164079
19;0.24471102610788517;0.1736757427863431
18;0.17229139682436254;0.19379024299068684
17;0.15596857974422937;0.18763536058424804
16;0.019739449616441414;0.2070675492559058
15;0.027267117190485083;0.20065445113799565
14;0.030624692639143396;0.19337926332050923
13;0.11854216838902605;0.19089327068598644
12;0.26610447418569233;0.19385086435548762
11;0.22015903344432144;0.19345051726702334
10;0.1559959963623271;0.1640173917368274
9;0.21590107411002163;0.17697218926411332
8;0.10145590562448135;0.1992300657943067
7;0.15313666086687308;0.19655749983950657
6;0.13881445972857634;0.22231554821155766
5;0.20661707403422147;0.20682544722086313
4;0.2267779801008225;0.18163201981634142
3;0.35611039687400164;0.16974733822010096
2;0.011851738974988646;0.2985773507764059
1;-0.20863578398787755;0.2398744488945591
0;0.5719103764371164;0.14789930418725647
